"taxonUUID","taxonRank","kingdom","class","simplifiedScientificName","categoryRedlistTW","new_redlistTW","source_process"
"a9182b3e-5cb1-4c28-932d-26b9a7eb62db","species","Animalia","Aves","Antigone vipio","不適用",NA,"redlistTW_change_output"
"bc2b5442-7a76-49bb-99a5-65631f2175fc","species","Animalia","Aves","Grus japonensis","不適用",NA,"redlistTW_change_output"
"943a9b58-5627-41a3-8794-ee25b5165d7c","species","Animalia","Aves","Grus monacha","不適用",NA,"redlistTW_change_output"
"251368bf-574e-4e61-8fff-b77abe6f4370","species","Animalia","Aves","Leucogeranus leucogeranus","不適用",NA,"redlistTW_change_output"
"5e24ac51-e693-49ce-9793-5a81a87d293f","species","Animalia","Aves","Hydrobates leucorhous","不適用",NA,"redlistTW_change_output"
"4748e6b0-2087-4910-89ee-5a3f657b5369","species","Animalia","Aves","Phoebastria albatrus","不適用",NA,"redlistTW_change_output"
"6dffa02d-95b8-4d06-b509-dda361173a01","species","Animalia","Aves","Gorsachius goisagi","不適用",NA,"redlistTW_change_output"
"0c97ee83-eb22-4e9f-bba9-6e23a7891727","species","Animalia","Aves","Nipponia nippon","不適用",NA,"redlistTW_change_output"
"ff35c17d-4ad0-4f7e-918d-16cb3a8f9edc","species","Animalia","Aves","Ptilinopus leclancheri","不適用",NA,"redlistTW_change_output"
"8a30e23d-3d8c-4a7c-9c27-ddef4b1b7014","species","Animalia","Aves","Halcyon pileata","不適用",NA,"redlistTW_change_output"
"30fddbfa-1efd-44a8-ab73-e83ce7113bb4","species","Animalia","Aves","Podiceps auritus","不適用",NA,"redlistTW_change_output"
"47ab4272-64bb-4b8e-b010-037fb787f256","species","Animalia","Reptilia","Eutropis multifasciata","不適用",NA,"redlistTW_change_output"
"b2975c1c-8643-4206-a6de-2f2ec65f30d9","species","Animalia","Reptilia","Gekko monarchus","不適用",NA,"redlistTW_change_output"
"381bf2ce-6ad3-4a01-a6ae-e03d1eb7d60d","species","Animalia","Reptilia","Hemidactylus frenatus","不適用",NA,"redlistTW_change_output"
"04c6dcad-8ff2-4911-a95e-b13996177c41","species","Animalia","Reptilia","Hemidactylus brookii","不適用",NA,"redlistTW_change_output"
"02090f7f-f362-4a04-9b5a-a797c4e32246","species","Animalia","Reptilia","Anolis sagrei","不適用",NA,"redlistTW_change_output"
"27cc5120-bb2d-4a43-b353-154b05987c0f","species","Animalia","Reptilia","Iguana iguana","不適用",NA,"redlistTW_change_output"
"9fdabd61-783c-4a57-9a19-4e9dab98cf9f","species","Animalia","Reptilia","Trachemys scripta","不適用",NA,"redlistTW_change_output"
"aae297ff-949c-4aac-9bc5-bc33916744e0","species","Animalia","Mammalia","Rattus exulans","不適用",NA,"redlistTW_change_output"
"4c497a4b-02bc-4d4b-b502-51763dd0ab4b","species","Animalia","Mammalia","Pipistrellus montanus","不適用",NA,"redlistTW_change_output"
"3c13c2ea-37be-44de-8e41-9dda16da11be","species","Animalia","Mammalia","Pipistrellus taiwanensis","不適用",NA,"redlistTW_change_output"
"5f7d20a1-1d0b-4122-b905-517463797c98","species","Animalia","Mammalia","Cynopterus sphinx","不適用",NA,"redlistTW_change_output"
"14d0933d-08f2-403c-83d6-96c8479ec3f7","species","Animalia","Mammalia","Rousettus leschenaultii","不適用",NA,"redlistTW_change_output"
"0bdcea29-6d89-4ed7-b227-36b9bbe32c8b","species","Animalia","Mammalia","Cervus nippon","不適用",NA,"redlistTW_change_output"
"ff912a9f-c4d4-4b83-aed2-1da3c462b9b2","species","Animalia","Amphibia","Aquarana catesbeiana","不適用",NA,"redlistTW_change_output"
"1488d5cc-26fb-43ae-8d18-040edea6bb27","species","Animalia","Amphibia","Polypedates megacephalus","不適用",NA,"redlistTW_change_output"
"f4b2f0bb-b7ae-4fb9-b466-1d58a4a77ce2","species","Animalia","Amphibia","Rhinella marina","不適用",NA,"redlistTW_change_output"
"548afc00-41bb-4980-9cc1-8bbdd9e5860e","species","Animalia","Amphibia","Fejervarya cancrivora","不適用",NA,"redlistTW_change_output"
"94a953b6-d8ab-4f73-ae47-224bf942b8eb","species","Animalia","Amphibia","Kaloula pulchra","不適用",NA,"redlistTW_change_output"
"7ac39eaf-514a-4c28-9374-d8ee3184fe01","infraspecies","Animalia","Reptilia","Trachemys scripta elegans","不適用",NA,"redlistTW_change_output"
"7289401e-7e8f-4cb7-9928-7433333b2e46","infraspecies","Animalia","Mammalia","Cervus nippon taiouanus","不適用",NA,"redlistTW_change_output"
"12c920ac-e8d3-4ba1-bb70-18583a5d278b","species","Animalia","Reptilia","Gekko gecko","不適用",NA,"redlistTW_change_output"
"f3bb3294-f26a-4d6c-ab70-23f5b0667481","species","Animalia","Reptilia","Physignathus cocincinus","不適用",NA,"redlistTW_change_output"
"30ecc23f-0b29-440d-abe7-85e3ac4881c3","species","Animalia","Reptilia","Chamaeleo calyptratus","不適用",NA,"redlistTW_change_output"
"89d7be27-d836-4ef1-8cfa-2ea202ce995b","species","Animalia","Amphibia","Eleutherodactylus planirostris","不適用",NA,"redlistTW_change_output"
"e32c6d37-4d2e-49c2-83a2-38a3e5d7eb4d","species","Animalia","Reptilia","Lycodon capucinus","不適用",NA,"redlistTW_change_output"
"fa429082-a61c-43ae-956b-f1ab64285268","species","Animalia","Aves","Fregata andrewsi","不適用",NA,"redlistTW_change_output"
