"taxonUUID","kingdom","class","simplifiedScientificName","nativeness","protectedStatusTW","categoryRedlistTW","categoryIUCN","taxon_id","sensitiveCategory","iucn_sensitive","protected_sensitive","redlistTW_sensitive","sensitive","date","comparison_sensitive"
"31e4c4b6-55a4-40a1-b6d2-533fb5cfb1ac","Animalia","Mammalia","Rhinolophus cornutus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"f57cf28c-d944-4722-a868-5e5693a75ac0","Animalia","Mammalia","Rhinolophus ferrumequinum","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"d2f83844-fc68-49a3-994a-7ecf800561e7","Animalia","Mammalia","Cavia","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"2795de51-afc8-4145-9792-91b47a996f3a","Animalia","Mammalia","Ovis aries","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"57b79f95-3ec9-48d7-8b6b-4e2d6dadc2d6","Animalia","Mammalia","Antidorcas marsupialis","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"de68e296-4017-4e86-8975-6b921cdf2f39","Animalia","Mammalia","Helarctos malayanus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"6737df18-5af8-4063-8c26-6aeedd361c5d","Animalia","Mammalia","Oryctolagus cuniculus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"4692064b-c590-446e-825a-cf53e871de65","Animalia","Mammalia","Mesocricetus auratus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"6068734b-980b-45e7-a8da-cfd8674b3921","Animalia","Mammalia","Vulpes vulpes","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"80ee2f37-ca69-4cda-94c2-0c6b8b5ebf04","Animalia","Mammalia","Panthera pardus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"ae00bc13-6d1c-4fc7-a9ee-cb4554472885","Animalia","Mammalia","Panthera tigris","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"7e8fdcc4-452c-47db-8c78-231b007bafcf","Animalia","Mammalia","Phodopus sungorus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"4438e066-0a45-41df-ba32-7a6a9ff9d2d6","Animalia","Mammalia","Tamias sibiricus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"fe1f4adf-4b7f-4942-9bf6-5efeca8ce341","Animalia","Mammalia","Cavia porcellus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"aabbfc8b-d55b-4750-94a3-9a9ea9ee4a7f","Animalia","Mammalia","Urotrichus talpoides","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"1b9c91da-d05c-4ede-9a84-66f77acbfb0c","Animalia","Mammalia","Oryctolagus cuniculus domesticus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"5f56504c-0370-48e8-87f4-b62da412d2c7","Animalia","Mammalia","Panthera tigris tigris","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
