"new_simple_name","taxon_id","kingdom","class","new_iucn","new_protected","new_redlistTW","redlistTW_date"
"Glyptophidium japonicum","t0106748","Animalia","Actinopteri","LC",NA,NA,NA
"Etmopterus lucifer","t0106749","Animalia","Elasmobranchii","LC",NA,NA,NA
"Epinephelus kupangensis","t0106750","Animalia","Actinopteri","LC",NA,NA,NA
"Epigonus pectinifer","t0106751","Animalia","Actinopteri","LC",NA,NA,NA
"Diaphus nielseni","t0106752","Animalia","Actinopteri","LC",NA,NA,NA
"Chlorophthalmus pectoralis","t0106753","Animalia","Actinopteri","LC",NA,NA,NA
"Centrophorus tessellatus","t0106758","Animalia","Elasmobranchii","EN",NA,NA,NA
"Canthigaster punctata","t0106759","Animalia","Actinopteri","DD",NA,NA,NA
"Branchiostegus wardi","t0106760","Animalia","Actinopteri","LC",NA,NA,NA
"Hypopleuron caninum","t0106762","Animalia","Actinopteri","LC",NA,NA,NA
"Lepidotrigla pectoralis","t0106763","Animalia","Actinopteri","DD",NA,NA,NA
"Polymixia sazonovi","t0106764","Animalia","Actinopteri","DD",NA,NA,NA
"Polyipnus notatus","t0106765","Animalia","Actinopteri","DD",NA,NA,NA
"Photonectes coffea","t0106766","Animalia","Actinopteri","LC",NA,NA,NA
"Peristedion amblygenys","t0106768","Animalia","Actinopteri","DD",NA,NA,NA
"Paramonacanthus otisensis","t0106771","Animalia","Actinopteri","LC",NA,NA,NA
"Ophichthus rotundus","t0106775","Animalia","Actinopteri","DD",NA,NA,NA
"Ophichthus retrodorsalis","t0106776","Animalia","Actinopteri","DD",NA,NA,NA
"Nesiarchus nasutus","t0106777","Animalia","Actinopteri","LC",NA,NA,NA
"Melanostomias paucilaternatus","t0106779","Animalia","Actinopteri","LC",NA,NA,NA
"Melanonus zugmayeri","t0106780","Animalia","Actinopteri","LC",NA,NA,NA
"Lutjanus xanthopinnis","t0106781","Animalia","Actinopteri","DD",NA,NA,NA
"Lutjanus papuensis","t0106782","Animalia","Actinopteri","DD",NA,NA,NA
"Lutjanus indicus","t0106783","Animalia","Actinopteri","LC",NA,NA,NA
"Lethrinus ravus","t0106784","Animalia","Actinopteri","LC",NA,NA,NA
"Decapterus akaadsi","t0106808","Animalia","Actinopteri","LC",NA,NA,NA
"Gibberichthys latifrons","t0106810","Animalia","Actinopteri","LC",NA,NA,NA
"Opistognathus evermanni","t0106868","Animalia","Actinopteri","LC",NA,NA,NA
"Opistognathus wassi","t0106870","Animalia","Actinopteri","LC",NA,NA,NA
"Gigantidas taiwanensis","t0122527","Animalia","Bivalvia","EN",NA,NA,NA
"Dipsastraea truncata","t0122650","Animalia","Hexacorallia","LC",NA,NA,NA
"Carcharhinus amboinensis","t0122890","Animalia","Elasmobranchii","VU",NA,NA,NA
"Diaphus effulgens","t0122912","Animalia","Actinopteri","LC",NA,NA,NA
"Bathyuroconger vicinus","t0123514","Animalia","Actinopteri","LC",NA,NA,NA
"Acentrogobius caninus","t0123515","Animalia","Actinopteri","LC",NA,NA,NA
"Pnoepyga pusilla","t0123516","Animalia","Aves","LC",NA,NA,NA
"Sovvityazius acer","t0123521","Animalia","Actinopteri","DD",NA,NA,NA
"Equulites laterofenestra","t0123525","Animalia","Actinopteri","DD",NA,NA,NA
"Cephalopholis cyanostigma","t0123549","Animalia","Actinopteri","LC",NA,NA,NA
"Elops hawaiensis","t0123550","Animalia","Actinopteri","DD",NA,NA,NA
"Rhinopias eschmeyeri","t0123552","Animalia","Actinopteri","LC",NA,NA,NA
"Cociella punctata","t0123553","Animalia","Actinopteri","LC",NA,NA,NA
"Taenioides snyderi","t0123558","Animalia","Actinopteri","LC",NA,NA,NA
"Pteroidichthys noronhai","t0123563","Animalia","Actinopteri","LC",NA,NA,NA
"Scorpaenodes quadrispinosus","t0123565","Animalia","Actinopteri","LC",NA,NA,NA
"Sebastapistes mauritiana","t0123566","Animalia","Actinopteri","LC",NA,NA,NA
"Arnoglossus tapeinosoma","t0123571","Animalia","Actinopteri","DD",NA,NA,NA
"Cirrhilabrus katherinae","t0123588","Animalia","Actinopteri","LC",NA,NA,NA
"Cirrhilabrus lineatus","t0123589","Animalia","Actinopteri","LC",NA,NA,NA
"Pseudojuloides mesostigma","t0123591","Animalia","Actinopteri","LC",NA,NA,NA
"Crocuta crocuta","t0123614","Animalia","Mammalia","LC",NA,NA,NA
"Lophiodes lugubris","t0123682","Animalia","Actinopteri","LC",NA,NA,NA
"Hispidoberyx ambagiosus","t0123714","Animalia","Actinopteri","LC",NA,NA,NA
"Coccorella atrata","t0123717","Animalia","Actinopteri","LC",NA,NA,NA
"Centrobranchus andreae","t0123719","Animalia","Actinopteri","LC",NA,NA,NA
"Lophiodes triradiatus","t0123721","Animalia","Actinopteri","LC",NA,NA,NA
"Deania calceus","t0123780","Animalia","Elasmobranchii","NT",NA,NA,NA
"Coloconger scholesi","t0123803","Animalia","Actinopteri","LC",NA,NA,NA
"Congriscus maldivensis","t0123804","Animalia","Actinopteri","LC",NA,NA,NA
"Polyipnus matsubarai","t0123807","Animalia","Actinopteri","LC",NA,NA,NA
"Polymetme corythaeola","t0123808","Animalia","Actinopteri","LC",NA,NA,NA
"Borostomias pacificus","t0123809","Animalia","Actinopteri","LC",NA,NA,NA
"Photostomias tantillux","t0123810","Animalia","Actinopteri","LC",NA,NA,NA
"Diaphus adenomus","t0123814","Animalia","Actinopteri","LC",NA,NA,NA
"Diaphus perspicillatus","t0123815","Animalia","Actinopteri","LC",NA,NA,NA
"Diaphus problematicus","t0123816","Animalia","Actinopteri","LC",NA,NA,NA
"Kuronezumia bubonis","t0123818","Animalia","Actinopteri","LC",NA,NA,NA
"Kuronezumia macronema","t0123819","Animalia","Actinopteri","DD",NA,NA,NA
"Laemonema robustum","t0123821","Animalia","Actinopteri","DD",NA,NA,NA
"Hoplostethus robustispinus","t0123822","Animalia","Actinopteri","LC",NA,NA,NA
"Glyptophidium argenteum","t0123823","Animalia","Actinopteri","LC",NA,NA,NA
"Glyptophidium oceanium","t0123824","Animalia","Actinopteri","LC",NA,NA,NA
"Saccogaster horrida","t0123825","Animalia","Actinopteri","DD",NA,NA,NA
"Saccogaster tuberculata","t0123826","Animalia","Actinopteri","LC",NA,NA,NA
"Brama dussumieri","t0123829","Animalia","Actinopteri","LC",NA,NA,NA
"Lophiodes iwamotoi","t0123832","Animalia","Actinopteri","LC",NA,NA,NA
"Apristurus nakayai","t0123833","Animalia","Elasmobranchii","LC",NA,NA,NA
"Iago garricki","t0123834","Animalia","Elasmobranchii","LC",NA,NA,NA
"Etmopterus bigelowi","t0123835","Animalia","Elasmobranchii","LC",NA,NA,NA
"Etmopterus decacuspidatus","t0123836","Animalia","Elasmobranchii","LC",NA,NA,NA
"Etmopterus lii","t0123837","Animalia","Elasmobranchii","DD",NA,NA,NA
"Naja haje","t0123892","Animalia","Reptilia","LC",NA,NA,NA
"Ptereleotris kallista","t0124303","Animalia","Actinopteri","DD",NA,NA,NA
"Elaphurus davidianus","t0125186","Animalia","Mammalia","EW",NA,NA,NA
"Neocaridina davidi","t0125341","Animalia","Malacostraca","DD",NA,NA,NA
"Caridina macrodentata","t0125371","Animalia","Malacostraca","DD",NA,NA,NA
"Caridina laoagensis","t0125394","Animalia","Malacostraca","LC",NA,NA,NA
"Caridina mertoni","t0125395","Animalia","Malacostraca","LC",NA,NA,NA
"Caridina parvirostris","t0125396","Animalia","Malacostraca","DD",NA,NA,NA
"Sousa chinensis taiwanensis","t0100982","Animalia","Mammalia",NA,"I",NA,NA
"Circus aeruginosus aeruginosus","t0101098","Animalia","Aves",NA,"II",NA,NA
"Antigone canadensis canadensis","t0101118","Animalia","Aves",NA,"II",NA,NA
"Buteo buteo vulpinus","t0102340","Animalia","Aves",NA,"II",NA,NA
"Circus spilonotus spilonotus","t0105577","Animalia","Aves",NA,"II",NA,NA
"Megacrania tsudai tsudai","t0105585","Animalia","Insecta",NA,"II",NA,NA
"Rhinoceros sinensis","t0107035","Animalia","Mammalia",NA,"I",NA,NA
"Neope muirheadi nagasawae","t0084881","Animalia","Insecta",NA,NA,"NLC","2025-05-01"
"Amaurornis phoenicurus chinensis","t0085213","Animalia","Aves",NA,NA,"NLC","2024-12-01"
"Tajuria illurgis","t0097782","Animalia","Insecta",NA,NA,"NNT","2025-05-01"
"Neope muirheadii","t0098005","Animalia","Insecta",NA,NA,"NLC","2025-05-01"
"Gorsachius melanolophus melanolophus","t0101080","Animalia","Aves",NA,NA,"NLC","2024-12-01"
"Anthus richardi sinensis","t0101117","Animalia","Aves",NA,NA,"NLC","2024-12-01"
"Ardea intermedia intermedia","t0101119","Animalia","Aves",NA,NA,"NLC","2024-12-01"
"Ardenna pacifica chlororhyncha","t0101120","Animalia","Aves",NA,NA,"NLC","2024-12-01"
"Plestiodon chinensis formosensis","t0102062","Animalia","Reptilia",NA,NA,"NLC","2024-12-01"
"Ficedula narcissina narcissina","t0105574","Animalia","Aves",NA,NA,"NLC","2024-12-01"
"Everes argiades argiades","t0107089","Animalia","Insecta",NA,NA,"NNT","2025-05-01"
"Junonia orithya orithya","t0107092","Animalia","Insecta",NA,NA,"NLC","2025-05-01"
