"taxonUUID","taxonRank","kingdom","simplifiedScientificName","current_redlistTW","suggested_redlistTW","source_process"
"b2975c1c-8643-4206-a6de-2f2ec65f30d9","species","Animalia","Gekko monarchus","NA",NA,"corrected_redlistTW"
"381bf2ce-6ad3-4a01-a6ae-e03d1eb7d60d","species","Animalia","Hemidactylus frenatus","NA",NA,"corrected_redlistTW"
"04c6dcad-8ff2-4911-a95e-b13996177c41","species","Animalia","Hemidactylus brookii","NA",NA,"corrected_redlistTW"
"02090f7f-f362-4a04-9b5a-a797c4e32246","species","Animalia","Anolis sagrei","NA",NA,"corrected_redlistTW"
"27cc5120-bb2d-4a43-b353-154b05987c0f","species","Animalia","Iguana iguana","NA",NA,"corrected_redlistTW"
"9fdabd61-783c-4a57-9a19-4e9dab98cf9f","species","Animalia","Trachemys scripta","NA",NA,"corrected_redlistTW"
"aae297ff-949c-4aac-9bc5-bc33916744e0","species","Animalia","Rattus exulans","NA",NA,"corrected_redlistTW"
"4c497a4b-02bc-4d4b-b502-51763dd0ab4b","species","Animalia","Pipistrellus montanus","NA",NA,"corrected_redlistTW"
"3c13c2ea-37be-44de-8e41-9dda16da11be","species","Animalia","Pipistrellus taiwanensis","NA",NA,"corrected_redlistTW"
"5f7d20a1-1d0b-4122-b905-517463797c98","species","Animalia","Cynopterus sphinx","NA",NA,"corrected_redlistTW"
"14d0933d-08f2-403c-83d6-96c8479ec3f7","species","Animalia","Rousettus leschenaultii","NA",NA,"corrected_redlistTW"
"0bdcea29-6d89-4ed7-b227-36b9bbe32c8b","species","Animalia","Cervus nippon","NA",NA,"corrected_redlistTW"
"ff912a9f-c4d4-4b83-aed2-1da3c462b9b2","species","Animalia","Aquarana catesbeiana","NA",NA,"corrected_redlistTW"
"1488d5cc-26fb-43ae-8d18-040edea6bb27","species","Animalia","Polypedates megacephalus","NA",NA,"corrected_redlistTW"
"f4b2f0bb-b7ae-4fb9-b466-1d58a4a77ce2","species","Animalia","Rhinella marina","NA",NA,"corrected_redlistTW"
"548afc00-41bb-4980-9cc1-8bbdd9e5860e","species","Animalia","Fejervarya cancrivora","NA",NA,"corrected_redlistTW"
"94a953b6-d8ab-4f73-ae47-224bf942b8eb","species","Animalia","Kaloula pulchra","NA",NA,"corrected_redlistTW"
"6e2c5d5f-ed42-4943-b505-66fe69435587","species","Animalia","Emberiza personata","暫無危機（LC, Least Concern）","","corrected_redlistTW"
"099552d8-6b9d-4f92-9667-a690fe0c286c","infraspecies","Animalia","Lonchura atricapilla sinensis","","易危（VU, Vulnerable）","corrected_redlistTW"
"1dc2ca35-a992-4753-b6e8-d609774848dc","infraspecies","Animalia","Lonchura atricapilla jagori","","易危（VU, Vulnerable）","corrected_redlistTW"
"69e21abf-b727-4b43-8fe6-d5fd3adf1ad5","infraspecies","Animalia","Lonchura atricapilla deignani","","易危（VU, Vulnerable）","corrected_redlistTW"
"58c022b9-5598-44ca-93c5-514bbf212e49","infraspecies","Animalia","Oriolus chinensis maculatus","","易危（VU, Vulnerable）","corrected_redlistTW"
"da946eff-550a-49ef-9c2d-6cafb480ccb9","infraspecies","Animalia","Phasianus colchicus karpowi","","極危（CR, Critically Endangered）","corrected_redlistTW"
"8da960a7-8e82-43ea-a6af-6589b4184c47","infraspecies","Animalia","Hydrobates leucorhous leucorhous","NA",NA,"corrected_redlistTW"
"80f016bc-a3d2-4afd-865e-d5d8ce4c2968","infraspecies","Animalia","Ptilinopus leclancheri longialis","NA",NA,"corrected_redlistTW"
"2d70d761-6b25-49b0-8039-719a68adbc28","infraspecies","Animalia","Podiceps auritus auritus","NA",NA,"corrected_redlistTW"
"7ac39eaf-514a-4c28-9374-d8ee3184fe01","infraspecies","Animalia","Trachemys scripta elegans","NA",NA,"corrected_redlistTW"
"a441e589-9fd5-4151-8830-36e3ca61b62d","infraspecies","Animalia","Trachemys scripta scripta","NA",NA,"corrected_redlistTW"
"7289401e-7e8f-4cb7-9928-7433333b2e46","infraspecies","Animalia","Cervus nippon taiouanus","NA",NA,"corrected_redlistTW"
"6cfab3d9-fe44-4449-aa3b-51b1f2309580","species","Animalia","Tagiades tethys","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"3b166100-1a7c-4f97-9b58-278c8fb8aa9b","species","Animalia","Pseudocoladenia dan","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"98bf4954-a511-48c2-bf35-ce4e9db0dd35","species","Animalia","Athyma jina","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"324a481d-7c26-4b85-b6df-22037747f6c5","species","Animalia","Neptis hesione","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"e55396c3-7ff9-472f-839e-b1fb1d06b4c2","species","Animalia","Eurema brigitta","","易危（VU, Vulnerable）","corrected_redlistTW"
"d531d769-6e92-455f-a97f-bce498acbdf1","species","Animalia","Aporia agathon","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"5d0847b6-4791-4048-b264-c6a4fe9a8667","species","Animalia","Aporia gigantea","","易危（VU, Vulnerable）","corrected_redlistTW"
"a4c6f85e-08b4-4302-99c7-6453d1117e5d","species","Animalia","Aciagrion migratum","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"96dca445-a975-49d0-90d2-3d2658a8a7f4","species","Animalia","Agriocnemis pygmaea","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"43674f7c-e032-4234-ae5f-227d0602c484","species","Animalia","Agriocnemis femina","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"a4ce0858-6ccf-43c4-b6f0-4797513c6b7a","species","Animalia","Ceriagrion melanurum","","極危（CR, Critically Endangered）","corrected_redlistTW"
"66a8a938-8c1e-4eaf-a901-92f3c075582a","species","Animalia","Ceriagrion nipponicum","","極危（CR, Critically Endangered）","corrected_redlistTW"
"5fbcfae6-ea81-4573-8180-3c898697364b","species","Animalia","Ceriagrion auranticum","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"203ffe6d-ba24-4181-95bb-c04ecaf3a99b","species","Animalia","Ceriagrion fallax","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"db43a9f2-b585-4ffb-b0e8-70af5c18f438","species","Animalia","Ischnura asiatica","","未評估（NE, Not Evaluated）","corrected_redlistTW"
"3856ed5a-f901-4153-8ed7-9d710f3e93f9","species","Animalia","Ischnura senegalensis","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"d759478a-de21-4d10-ae38-b373f98e02b2","species","Animalia","Mortonagrion selenion","","未評估（NE, Not Evaluated）","corrected_redlistTW"
"7b64cfce-b461-4873-979e-8fb5b53e2bda","species","Animalia","Mortonagrion hirosei","","極危（CR, Critically Endangered）","corrected_redlistTW"
"83d548df-90a3-432c-9af3-18736c129a8c","species","Animalia","Paracercion melanotum","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"75bfc536-d267-42f0-8405-dca968ec0d57","species","Animalia","Paracercion sieboldii","","未評估（NE, Not Evaluated）","corrected_redlistTW"
"dc713467-7362-4f82-9b73-5efb5b934fca","species","Animalia","Paracercion calamorum","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"238e95cc-ccc2-426e-8fa7-bdc1fb84655d","species","Animalia","Pseudagrion microcephalum","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"966dad42-1951-48b6-ba72-cb2e73eb17d0","species","Animalia","Pseudagrion rubriceps","","資料缺乏（DD, Data Deficient）","corrected_redlistTW"
"2a39544a-f95f-429a-90e2-4d720640f6b8","species","Animalia","Pseudagrion pilidorsum","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"ce57073f-bca3-42d8-aa4c-1d46d8ccfbe4","species","Animalia","Anaciaeschna martini","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"5273c00f-48ed-426c-a719-818406312801","species","Animalia","Anaciaeschna jaspidea","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"eb019832-1fd1-4a9f-9b1a-488f4c706d3a","species","Animalia","Anax guttatus","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"3267483b-78e4-48b5-bfc8-4a3ece4112c1","species","Animalia","Anax panybeus","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"6e5e7546-d08a-4540-acfb-d3b017ad75b9","species","Animalia","Anax nigrofasciatus","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"b2e94a81-5bb1-43dd-8539-82a93165be24","species","Animalia","Anax parthenope","","未評估（NE, Not Evaluated）","corrected_redlistTW"
"6780f963-aa39-4874-af70-22b2c9d6ff14","species","Animalia","Cephalaeschna risi","","易危（VU, Vulnerable）","corrected_redlistTW"
"ef947cfc-f409-4f05-8e3e-58bab01c4007","species","Animalia","Gynacantha bayadera","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"bc2c1ca4-88e6-438c-8d9e-72a2f83013a9","species","Animalia","Gynacantha japonica","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"1f77aabf-1eed-4b95-9782-58ea1ca4a142","species","Animalia","Gynacantha ryukyuensis","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"16ae30e4-901b-44d0-993c-d457d11f0b36","species","Animalia","Gynacantha saltatrix","","瀕危（EN, Endangered）","corrected_redlistTW"
"ddcf3694-c89b-4eb1-af14-32609f502534","species","Animalia","Periaeschna magdalena","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"15776791-e11b-470f-aaeb-dfb50eeb8eac","species","Animalia","Sarasaeschna tsaopiensis","","瀕危（EN, Endangered）","corrected_redlistTW"
"07f1f503-b29e-47f2-8764-7d3c9474d0bf","species","Animalia","Sarasaeschna lieni","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"43f3993e-39d2-4952-8538-d1aac247c24b","species","Animalia","Sarasaeschna pyanan","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"98d556d5-c027-4367-8b57-7741495f6ac0","species","Animalia","Sarasaeschna chiangchinlii","","易危（VU, Vulnerable）","corrected_redlistTW"
"d7183cdf-acca-44b7-940d-feed3af27e52","species","Animalia","Sarasaeschna kaoi","","極危（CR, Critically Endangered）","corrected_redlistTW"
"039c2f28-2e7c-4707-966f-1f46c610a56c","species","Animalia","Aeshna petalura","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"8cb4223c-dfaf-472f-a8b5-fa1c7144d735","species","Animalia","Anisogomphus maacki","","易危（VU, Vulnerable）","corrected_redlistTW"
"bbb756de-57db-4f5a-906a-5976a7ea8079","species","Animalia","Asiagomphus hainanensis","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"4b50189e-6bba-4801-9d76-59ab4f676618","species","Animalia","Asiagomphus pacificus","","易危（VU, Vulnerable）","corrected_redlistTW"
"0311ee4f-e15e-4972-a57c-23617e555752","species","Animalia","Asiagomphus perlaetus","","瀕危（EN, Endangered）","corrected_redlistTW"
"0d66f442-d82a-4ac6-888c-ca5adaf4357f","species","Animalia","Asiagomphus septimus","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"2abb2843-08a3-48c1-abd7-962a19409459","species","Animalia","Burmagomphus vermicularis","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"44c64a9b-5835-41b5-8cff-849ff9f18ed1","species","Animalia","Fukienogomphus prometheus","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"60d9b43d-2769-4b38-b6e2-b18d0d1eeae2","species","Animalia","Gomphidia confluens","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"fc8eb5c7-4001-48fb-83ef-4d681b14d07d","species","Animalia","Heliogomphus retroflexus","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"e5c6da69-37c8-431e-8d45-6affff161084","species","Animalia","Ictinogomphus rapax","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"965d2fb5-b742-4621-9bdc-79dfa56bac25","species","Animalia","Lamelligomphus formosanus","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"6d08d572-cff4-4679-b493-bf5ba78187b4","species","Animalia","Merogomphus pavici","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"fc42ef70-7fa4-49cd-9353-51aab13a516b","species","Animalia","Sieboldius deflexus","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"b2251962-5a7a-454f-bd29-c070b7e63e36","species","Animalia","Sinictinogomphus clavatus","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"03a72898-804b-4b50-8e35-a266cf59734a","species","Animalia","Sinogomphus formosanus","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"e74f8e31-e5c1-40a9-814b-79ce6f58b721","species","Animalia","Stylogomphus changi","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"6d399929-516e-4f54-8139-68281ab38b3c","species","Animalia","Stylogomphus shirozui","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"a7deaf8a-e8a7-4d7f-a459-1a9987f0775f","species","Animalia","Leptogomphus sauteri","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"0defb28c-09ee-48fb-b092-aeefb9981c26","species","Animalia","Anotogaster klossi","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"df8d1a1d-124c-4607-b9c2-533ae2d6460d","species","Animalia","Chlorogomphus brevistigma","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"efef3ec8-67f9-40d7-9f87-2c5855cad9fa","species","Animalia","Chlorogomphus risi","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"5a9082e4-fbc9-45d6-b29b-96d3f4383cf1","species","Animalia","Aristocypha baibarana","","極危（CR, Critically Endangered）","corrected_redlistTW"
"a883838f-1444-44d4-a63a-3d8dc5802ba5","species","Animalia","Rhinocypha taiwana","","瀕危（EN, Endangered）","corrected_redlistTW"
"f6b69d9b-e2cb-45c7-bd99-6c7ff9d0967d","species","Animalia","Heliocypha perforata","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"7e1f4500-494a-4bb6-aaee-8f0fe7e7225e","species","Animalia","Libellago lineata","","瀕危（EN, Endangered）","corrected_redlistTW"
"2bb9dd19-1602-4535-afdf-c6363fa5a983","species","Animalia","Bayadera brevicauda","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"7dc20760-3086-4f93-9f08-3975b5a87470","species","Animalia","Euphaea formosa","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"70471991-ebec-4b80-813f-6bca09c3fc24","species","Animalia","Brachythemis contaminata","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"9ff1c239-4fe1-4972-813a-8b741feabfb5","species","Animalia","Deielia phaon","","未評估（NE, Not Evaluated）","corrected_redlistTW"
"50b5be46-180c-4316-82b8-bf3e73c285ba","species","Animalia","Diplacodes trivialis","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"ba53fd7b-2593-4cfa-9342-a878017fa64e","species","Animalia","Hydrobasileus croceus","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"03c84c4d-f518-4674-ad57-d851397556db","species","Animalia","Lyriothemis flava","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"9b609bf2-87b1-49ba-bcbd-468201482879","species","Animalia","Lyriothemis elegantissima","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"5a1a17b8-a6bb-403c-9ea1-b8920b73038c","species","Animalia","Macrodiplax cora","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"0a4cbe68-8a9b-4863-b8a0-d161819a4596","species","Animalia","Nannophya pygmaea","","瀕危（EN, Endangered）","corrected_redlistTW"
"03aef23e-a178-427b-8027-195914baf14e","species","Animalia","Nannophyopsis clara","","瀕危（EN, Endangered）","corrected_redlistTW"
"7d7b603a-e390-42bb-bbad-d518641cf100","species","Animalia","Neurothemis fulvia","","未評估（NE, Not Evaluated）","corrected_redlistTW"
"184e130f-babe-4d9f-8698-ae23d46056dd","species","Animalia","Neurothemis taiwanensis","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"0fee45b5-fb52-40e1-83dd-9bee2833e549","species","Animalia","Neurothemis tullia","","極危（CR, Critically Endangered）","corrected_redlistTW"
"db9651db-196e-4343-a0ea-63ed4d067867","species","Animalia","Orthetrum glaucum","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"0f5191c3-1eb1-4fc2-9381-c7a254395880","species","Animalia","Orthetrum luzonicum","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"96637826-25da-4e32-813d-1591d8ae2d81","infraspecies","Animalia","Orthetrum melania continentale","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"0151f2e2-4365-49f8-a697-d93cfbe28de5","infraspecies","Animalia","Orthetrum triangulare triangulare","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"70de0277-836f-4c40-9e02-90a2b3999a02","species","Animalia","Orthetrum albistylum","","極危（CR, Critically Endangered）","corrected_redlistTW"
"d78768be-9da1-4a87-858b-5906e03b19b5","species","Animalia","Orthetrum pruinosum","","瀕危（EN, Endangered）","corrected_redlistTW"
"7682e6c1-93a1-49ec-acfe-c6ce68fd6a70","species","Animalia","Orthetrum sabina","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"a1b6a2c8-d224-4009-b22f-8e7f426300b6","species","Animalia","Pantala flavescens","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"cfca8a7e-51b2-41a4-b071-6a59374ffa15","species","Animalia","Pseudothemis zonata","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"62ad55f6-44cc-4ef6-af9e-4ee0baf473b2","species","Animalia","Rhyothemis severini","","瀕危（EN, Endangered）","corrected_redlistTW"
"798e156b-041d-4b68-ad01-bc27c22cf760","species","Animalia","Rhyothemis triangularis","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"b1a7ac56-949d-4d38-b4da-653e6fb90cc3","species","Animalia","Rhyothemis regia","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"a06f4017-6cbb-4319-aa58-f60940a07863","species","Animalia","Rhyothemis variegata","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"80a9804b-3eda-4eb5-b0c5-913e14f357d0","species","Animalia","Sympetrum darwinianum","","未評估（NE, Not Evaluated）","corrected_redlistTW"
"c38ade02-8d7e-439c-b7f9-553ba8ffdfe6","species","Animalia","Sympetrum kunckeli","","未評估（NE, Not Evaluated）","corrected_redlistTW"
"697286a5-86c9-46c1-8fc6-b97409140ff5","species","Animalia","Sympetrum cordulegaster","","未評估（NE, Not Evaluated）","corrected_redlistTW"
"f44d893e-20d5-4f49-b0fc-eea82e0b3865","species","Animalia","Sympetrum depressiusculum","","未評估（NE, Not Evaluated）","corrected_redlistTW"
"daee45f2-702a-4bc3-940f-76b10a8d409a","species","Animalia","Sympetrum fonscolombii","","未評估（NE, Not Evaluated）","corrected_redlistTW"
"cfccfc6c-89bd-498e-8ed1-22996fbf6a53","species","Animalia","Sympetrum nantouensis","","瀕危（EN, Endangered）","corrected_redlistTW"
"dc638eb5-5456-451e-b504-918ae78f9d16","species","Animalia","Sympetrum baccha","","RE","corrected_redlistTW"
"d4fc848c-b4e7-4994-be79-e93fb53b86c6","species","Animalia","Sympetrum eroticum","","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"118c4f95-1d01-4d8b-8701-d3e00dd60049","species","Animalia","Tholymis tillarga","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"125736d1-2fc2-40df-8678-25f9cb31637a","species","Animalia","Tramea virginia","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"527f29d3-deb5-428f-8293-f198090bf201","species","Animalia","Tramea transmarina","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"a8add0af-57bd-44d3-98be-63448b769961","species","Animalia","Trithemis aurora","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"c7350fe8-1801-490f-8e2f-010097d3f6ed","species","Animalia","Trithemis festiva","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"5bf83fca-43b5-46d5-8a1b-63728733cd8c","species","Animalia","Trithemis pallidinervis","","未評估（NE, Not Evaluated）","corrected_redlistTW"
"604aaed0-0d66-4a5e-b20f-bee2b545edf4","species","Animalia","Zygonyx takasago","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"83bd5185-fc1d-430e-ba05-a3877e7d3084","species","Animalia","Zyxomma petiolatum","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"f1214d64-5522-45ed-818d-6fb2c93bb30d","species","Animalia","Zyxomma obtusum","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"1a8a377a-24a0-48ee-be28-25fa6a3fb348","species","Animalia","Acisoma panorpoides","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"245efa49-df68-4266-9534-01f41200e0c4","species","Animalia","Agrionoptera insignis","","瀕危（EN, Endangered）","corrected_redlistTW"
"22dc0d55-61c0-46f8-9c82-5851307ebad4","species","Animalia","Brachydiplax chalybea","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"79c187f8-23e4-40f1-9cc6-c936614b723e","species","Animalia","Cratilla lineata","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"58ba26ce-0821-49c8-bdc8-a60338406436","species","Animalia","Crocothemis servilia","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"756bd88c-cc90-41e8-b965-164c11a2f796","species","Animalia","Lathrecista asiatica","","資料缺乏（DD, Data Deficient）","corrected_redlistTW"
"ef8b662f-5ec7-4a69-a43a-2470698a833c","species","Animalia","Onychothemis testacea","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"a2976c52-9273-4014-9709-ee9f2295712f","species","Animalia","Potamarcha congener","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"b07278eb-aae6-4cb2-873e-24a92f3e17ca","species","Animalia","Urothemis signata","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"bd7f518d-163d-49a7-b4c5-ae7ce6c6cc2d","species","Animalia","Coeliccia cyanomelas","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"f7ef222c-adda-45f3-a04a-85789e29b7ec","species","Animalia","Coeliccia flavicauda","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"1e67c223-1876-43fc-adc5-f5773cdc847a","species","Animalia","Copera marginipes","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"2b534b7d-9bc5-4a7c-b20a-d41763c058bd","species","Animalia","Onychargia atrocyana","","瀕危（EN, Endangered）","corrected_redlistTW"
"9fc539ea-c6ad-4f6a-ac67-3f09624b7e7e","species","Animalia","Prodasineura croconota","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"d1ef61a2-f66f-42aa-8cbe-daa70cd55e49","species","Animalia","Prodasineura autumnalis","","資料缺乏（DD, Data Deficient）","corrected_redlistTW"
"c62ca225-db31-461b-a36d-599fcc19529b","species","Animalia","Epophthalmia elegans","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"4c3c4fe6-60d9-48d7-bfa9-e2e039bd0f4f","species","Animalia","Macromia clio","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"2876ffb9-bca4-4b40-be1a-09115b2e4155","species","Animalia","Macromia urania","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"9292e860-0505-469c-b055-1fc1ce525b6f","species","Animalia","Macromia daimoji","","瀕危（EN, Endangered）","corrected_redlistTW"
"bd7d5a45-f55a-4fbe-aaff-6762cbe5bbd1","species","Animalia","Macromidia ishidai","","極危（CR, Critically Endangered）","corrected_redlistTW"
"059c6715-5b60-4df7-8a4c-7a6c848d7e4e","species","Animalia","Somatochlora taiwana","","極危（CR, Critically Endangered）","corrected_redlistTW"
"abe37b35-c2be-4a6b-b303-f752e666b7f5","species","Animalia","Hemicordulia mindana","","瀕危（EN, Endangered）","corrected_redlistTW"
"13cdbc08-c641-4a25-a40a-600d83ca5539","species","Animalia","Indolestes cyaneus","","暫無危機（LC, Least Concern）","corrected_redlistTW"
"2560e757-2f3a-42fa-861a-4ea245a402b7","species","Animalia","Lestes concinnus","","未評估（NE, Not Evaluated）","corrected_redlistTW"
