"taxonUUID","taxonRank","parentUUID","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW"
"606ec845-ddff-4d26-9328-f98262379fe3","species","d70ff556-a979-4ab5-ac6b-3d7e63c80500","","Callonetta leucophrys","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"9c0f14d5-ff72-4e4c-9c82-809667299ee6","species","8c9fb09f-e910-4212-9b1f-e86f7529cec5","","Crithagra citrinipectus","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"7099f442-8a53-4a2d-8931-ffbe3c84fd04","species","becfc705-8db1-42dc-b6cb-e6d2633ad6cd","","Dacelo novaeguineae","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"7bfc652d-5ba2-460e-af0f-814beeba48df","species","5c634750-f6d0-4d68-bad0-89df6ef26525","","Chloropsis cochinchinensis","Animalia","Aves","外來 Non-native","","","","","",NA
"ad201582-e7a7-4fd9-a0ed-c221a73c4b3d","species","88109162-83db-4b4b-af8e-22792fbb4871","","Diopsittaca nobilis","Animalia","Aves","外來 Non-native","","","","","",NA
"a5935862-582d-4613-bb75-ced685072303","species","fb3b13dd-8624-4db7-9ca1-2c9cb4f83355","","Eclectus roratus","Animalia","Aves","外來 Non-native","","","","","",NA
"e74e163c-ed0b-4267-ba67-6504901c45fa","species","ea7180dd-65de-4f11-a234-58d3697c6d56","","Geokichla dohertyi","Animalia","Aves","外來 Non-native","","","","接近受脅（NT, Near Threatened）","",NA
"3c68165d-64e0-4bbc-abcb-a4efc5896034","species","143bf914-c606-4ed0-8780-86ac007e32c7","","Geopelia cuneata","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"3f3457bf-296d-4ce0-82cd-2dc112fa3b02","species","653c3762-998f-407f-ae8e-69a393971b93","","Lamprotornis caudatus","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"74b389a9-5768-485c-bf90-09a5ed774ad0","species","4807b51d-dcc1-46bb-b2ea-d8b9a66ae287","","Leistes superciliaris","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"404f67b3-05ea-4bc3-91ef-0991c7689583","species","e8994324-2f7b-49c1-9c8e-43dd476d9033","","Meleagris gallopavo","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"959dcb70-5972-4529-866b-cc978cad8045","species","49de3093-d632-4700-9366-83bc033be1fa","","Myiopsitta monachus","Animalia","Aves","外來 Non-native","","","","","",NA
"e709d5b2-c640-4667-9fb8-60666b1ee392","species","ea44b831-25fd-4155-8602-fe98cc506c81","","Numida meleagris","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"9183b1fe-1421-422a-9fb0-c39fdd68d1b9","species","c2cecd50-1308-44b9-b2c3-1642ff6457f4","","Parabuteo unicinctus","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"af33d0b9-46a7-4906-ab03-92dfe27e3619","species","c089ff47-3191-4feb-9e1e-894c09d8a27e","","Paroaria gularis","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"d23a3d9c-afd8-4445-84d0-b4c9f1ab11b5","species","fa375cf4-d780-41cf-86f1-7087a320fe84","","Ploceus jacksoni","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"f6548d21-5627-4147-8e4c-84df9cdf06da","species","f175b226-99e7-4d47-a9a7-be80a8137249","","Poicephalus senegalus","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"c8e63a90-eac2-4f16-844c-dfa66e8abeea","species","1b5d44c4-e1fd-4175-8d4e-41890839cac8","","Primolius auricollis","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"2a2a5e09-0cc1-4ea0-8876-d3a1add0bbbd","species","6cab629c-9118-4a46-91a5-70cebb210609","","Psittacara erythrogenys","Animalia","Aves","外來 Non-native","","","","接近受脅（NT, Near Threatened）","",NA
"6b954751-7b3e-43e8-a855-d3d098f01ffc","species","a7e5bc98-56c5-4567-8baa-722e3ba07f21","","Psittacula eupatria","Animalia","Aves","外來 Non-native","","","","","",NA
"c9ee301c-8be3-4dde-8542-8aa54aae1742","species","ffbfd34a-640d-485a-83d5-6da6cc031dad","","Pyrrhocorax pyrrhocorax","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"8b3d288a-1c6d-4a53-9793-1f3c28095b5d","species","87622eaf-9bfd-4ac1-a045-2f2d9561d411","","Sicalis columbiana","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"54a5c8b3-778a-46e0-9b9c-7d36799b3c18","species","92a24bcd-768a-4e02-b28f-d493884442df","","Trichoglossus moluccanus","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"df813c85-d964-4849-b506-d315679eb937","species","92a24bcd-768a-4e02-b28f-d493884442df","","Trichoglossus rubritorquis","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"fb46b4e5-d2b4-43ba-a5db-f3cc22bf92b1","species","4be665b9-5fc4-440c-885b-6d3e3b42ef37","","Trochalopteron formosum","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"ca04b9ad-203b-49a4-9ff4-25a903752d32","species","f32d3c8c-a246-4acd-8da2-dd39f26deaff","","Vidua chalybeata","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"236baa19-37c4-41b9-8761-dc2e29ec67f5","species","f32d3c8c-a246-4acd-8da2-dd39f26deaff","","Vidua obtusa","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"696ba4d9-5235-4c5d-b3fe-3dd4f01975e0","species","725a40ba-6cfa-4394-b306-9a6040784644","","Peltigera mikado","Fungi","Ascomycetes","原生 Native","","","","","",NA
"47011ba1-a5ba-4aa0-937e-caf42b93cc20","species","8f38b975-ce34-4f12-9026-07d1d90e5b7a","","Euplectes afer","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"8d3b0f6d-7b24-4e98-bd0c-dc51897a7587","species","97a584e6-1689-45ee-a654-5dc2624f3143","","Stizoptera bichenovii","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"e6ed5b5d-64c0-41f6-b7d9-2142899acee4","species","58b25f68-0a3d-43a8-a3f0-1e1125dcfa45","","Graptemys ouachitensis","Animalia","Reptilia","外來 Non-native","","","","","",NA
