"new_simple_name","kingdom","class","new_iucn"
"Halieutopsis oblonga","Animalia","Actinopteri","LC"
"Indothemis carnatica","Animalia","Insecta","LC"
"Opistognathus randalli","Animalia","Actinopteri","LC"
"Johnius borneensis","Animalia","Actinopteri","LC"
"Johnius trewavasae","Animalia","Actinopteri","LC"
"Oryzias latipes","Animalia","Actinopteri","LC"
"Acridotheres leucocephalus","Animalia","Aves","LC"
"Redigobius oyensi","Animalia","Actinopteri","LC"
"Microhyla ornata","Animalia","Amphibia","LC"
"Somanniathelphusa amoyensis","Animalia","Malacostraca","DD"
"Pseudoplesiops rosae","Animalia","Actinopteri","LC"
"Apogonichthyoides sialis","Animalia","Actinopteri","LC"
"Apterichtus hatookai","Animalia","Actinopteri","DD"
"Abalistes filamentosus","Animalia","Actinopteri","LC"
"Thamnaconus fijiensis","Animalia","Actinopteri","DD"
"Bovitrigla acanthomoplate","Animalia","Actinopteri","DD"
"Bathophilus pawneei","Animalia","Actinopteri","LC"
"Beryx decadactylus","Animalia","Actinopteri","LC"
"Brachypleura novaezeelandiae","Animalia","Actinopteri","LC"
"Brachypterois serrulifer","Animalia","Actinopteri","LC"
"Holothuria coluber","Animalia","Holothuroidea","LC"
"Stichopus chloronotus","Animalia","Holothuroidea","LC"
"Labidodemas semperianum","Animalia","Holothuroidea","LC"
"Anguilla rostrata","Animalia","Actinopteri","EN"
"Engyprosopon macrolepis","Animalia","Actinopteri","LC"
"Neotrygon varidens","Animalia","Elasmobranchii","LC"
"Chelon melinopterus","Animalia","Actinopteri","LC"
"Scoliodon macrorhynchos","Animalia","Elasmobranchii","NT"
"Pristigenys refulgens","Animalia","Actinopteri","LC"
"Equulites popei","Animalia","Actinopteri","LC"
"Scotophilus heathii","Animalia","Mammalia","LC"
"Myrmecophilus mayaealberti","Animalia","Insecta","DD"
"Okamejei picta","Animalia","Elasmobranchii","DD"
"Equulites oblongus","Animalia","Actinopteri","LC"
"Equulites leuciscus","Animalia","Actinopteri","LC"
