"taxonUUID","taxonRank","kingdom","simplifiedScientificName","current_redlistTW","suggested_redlistTW","source_process"
"9e40f8b8-55dc-464b-a1da-6ddf745e9bd9","species","Animalia","Chanodichthys erythropterus","LC","NLC","corrected_redlistTW"
"6bc30079-1e4d-4c47-a6ae-c992a9080494","species","Animalia","Culter alburnus","LC","NLC","corrected_redlistTW"
"707298c4-85fc-4a84-8257-2d02cd413c95","species","Animalia","Gobiobotia cheni","EN","NEN","corrected_redlistTW"
"5198724a-b8f1-4966-8e2d-9a337aefe904","species","Animalia","Gobiobotia intermedia","EN","NEN","corrected_redlistTW"
"0364a4dd-fcc8-4a7d-a1cd-cad590b76cbb","species","Animalia","Hemibarbus labeo","LC","NLC","corrected_redlistTW"
"7f0feab0-4c08-4828-bc7c-edcfed943bc2","species","Animalia","Hemiculter leucisculus","LC","NLC","corrected_redlistTW"
"e49be715-553a-4e2c-844e-48337d474042","species","Animalia","Metzia formosae","EN","NEN","corrected_redlistTW"
"8364ec1e-f5a0-44bb-8a50-40d7b548fb52","species","Animalia","Metzia mesembrinum","VU","NVU","corrected_redlistTW"
"2a45aad3-b14b-4138-864e-dd1a9e3db3cc","species","Animalia","Microphysogobio alticorpus","VU","NVU","corrected_redlistTW"
"3e1bd674-c707-46c5-9f03-41f85c41f249","species","Animalia","Microphysogobio brevirostris","VU","NVU","corrected_redlistTW"
"51576a14-8ee7-4b82-a0bf-5036a8906566","species","Animalia","Onychostoma alticorpus","NT","NNT","corrected_redlistTW"
"ff8ef66a-3a83-462d-b6e2-aff7060bc008","species","Animalia","Opsariichthys pachycephalus","LC","NLC","corrected_redlistTW"
"76dba766-cdf4-4fe4-ae98-f142e81d17a9","species","Animalia","Opsariichthys evolans","LC","NLC","corrected_redlistTW"
"bff10cdb-c00b-4f4c-a0af-3f435cd114a6","species","Animalia","Opsariichthys kaopingensis","EN","NEN","corrected_redlistTW"
"ba1431a7-f754-4687-88fc-cbae0450977d","species","Animalia","Pararasbora moltrechti","EN","NEN","corrected_redlistTW"
"f7cf30a7-ab44-495c-9f51-633334bda364","species","Animalia","Pseudorasbora parva","NT","NNT","corrected_redlistTW"
"d11b18eb-ae8f-460b-985b-ac9042602183","species","Animalia","Puntius semifasciolatus","NT","NNT","corrected_redlistTW"
"21f9db13-69e9-44be-8486-a3f3cf4f53f6","species","Animalia","Puntius snyderi","NT","NNT","corrected_redlistTW"
"39675fc8-4221-4047-ac62-b93e9adf9bba","species","Animalia","Sinibrama macrops","NT","NNT","corrected_redlistTW"
"99b2cfe1-fee9-4f2e-b019-427c390b2b70","species","Animalia","Spinibarbus hollandi","LC","NLC","corrected_redlistTW"
"8ff1a9aa-7d0e-42dc-905e-feccb6a69c33","species","Animalia","Squalidus iijimae","CR","NCR","corrected_redlistTW"
"96674ae7-a4d8-4688-a0bf-3e15d0fd2191","species","Animalia","Squalidus banarescui","EN","NEN","corrected_redlistTW"
"a3d77668-4348-44f7-9443-abfb6a4eed7d","species","Animalia","Cyprinus carpio","LC","NLC","corrected_redlistTW"
"1179f87b-f544-4f13-af59-177af97205b2","species","Animalia","Paratanakia himantegus","NT","NNT","corrected_redlistTW"
"a7a666cc-45ea-49bb-b9a9-00b404cd125d","species","Animalia","Rhodeus ocellatus","LC","NLC","corrected_redlistTW"
"bed58f9e-a071-4cfb-ad33-149ba91b386a","species","Animalia","Cobitis sinensis","VU","NVU","corrected_redlistTW"
"9cd32513-8776-4b11-ae0e-548154059714","species","Animalia","Misgurnus anguillicaudatus","LC","NLC","corrected_redlistTW"
"719b88f2-ff73-40b1-ae2a-49eaf82c3759","species","Animalia","Paramisgurnus dabryanus","LC","NLC","corrected_redlistTW"
"6bbe09aa-56bd-40d8-aa77-03aac0b2efed","species","Animalia","Formosania lacustre","NT","NNT","corrected_redlistTW"
"cea2ea72-bfa4-4718-be05-445fb6ce349b","species","Animalia","Hemimyzon formosanus","NT","NNT","corrected_redlistTW"
"bc1b317b-7389-4426-b00e-dc22a7667e2f","species","Animalia","Hemimyzon taitungensis","EN","NEN","corrected_redlistTW"
"a0ab15f4-6c18-4b96-91ba-8319b7894ef3","species","Animalia","Sinogastromyzon puliensis","EN","NEN","corrected_redlistTW"
"0c061ec6-8b80-4fed-b612-0d14da2bdee1","species","Animalia","Sinogastromyzon nantaiensis","NT","NNT","corrected_redlistTW"
"29385ab4-54b3-4ca8-a5d9-07e0d8d4da05","species","Animalia","Gymnothorax polyuranodon","LC","NLC","corrected_redlistTW"
"3ccac959-aa94-4269-8440-ab537cb61ce4","species","Animalia","Anguilla japonica","EN","NEN","corrected_redlistTW"
"9580023d-6c11-42a2-a03e-4513d983cae3","species","Animalia","Anguilla marmorata","LC","NLC","corrected_redlistTW"
"1c250d99-5cd3-48ec-aa5e-3c29bce28430","species","Animalia","Anguilla bicolor","VU","NVU","corrected_redlistTW"
"d76ab051-1d91-4287-8b8e-2bc5a10e6648","species","Animalia","Clarias fuscus","NT","NNT","corrected_redlistTW"
"895740ab-889c-498d-9e7e-61a09f69635a","species","Animalia","Liobagrus formosanus","EN","NEN","corrected_redlistTW"
"fa5000e5-2ad6-4315-9d5a-0f3b004749c0","species","Animalia","Silurus asotus","LC","NLC","corrected_redlistTW"
"0df8aedc-80ea-41e6-b916-a30a509aae5e","species","Animalia","Tachysurus adiposalis","EN","NEN","corrected_redlistTW"
"47209c5b-48df-4c34-a6c7-44dc39ebc210","species","Animalia","Tachysurus brevianalis","VU","NVU","corrected_redlistTW"
"eec79ade-5027-4d51-b5d4-b9b07d397c86","species","Animalia","Monopterus albus","LC","NLC","corrected_redlistTW"
"41685903-0c6d-4ced-8d3f-5690d5358d26","species","Animalia","Oncorhynchus masou","NT","NNT","corrected_redlistTW"
"86411be4-c1f1-43b5-8750-fcdd950eed87","infraspecies","Animalia","Oncorhynchus masou formosanus","NT","NNT","corrected_redlistTW"
"9948f41b-fc69-4e6f-849e-e8c2dacd825f","species","Animalia","Carpodacus formosanus","VU","NVU","corrected_redlistTW"
"5e3f9bb9-88a8-4668-9d7d-b111e113add9","species","Animalia","Fringilla montifringilla","LC","NLC","corrected_redlistTW"
"b75d0ff4-3b92-4cca-b5e3-1a96a6c0a28e","species","Animalia","Spinus spinus","LC","NLC","corrected_redlistTW"
"0a1e54c3-4c8e-4f33-8ad6-0f54b19af37d","species","Animalia","Eophona migratoria","LC","NLC","corrected_redlistTW"
"a077c0bf-a835-4a9c-97a9-db1cc2553037","species","Animalia","Pyrrhula owstoni","EN","NEN","corrected_redlistTW"
"74532249-a7c4-4f72-9444-5f14a6243010","species","Animalia","Pyrrhula nipalensis","LC","NLC","corrected_redlistTW"
"517b4acd-8951-426b-a81b-e8cedf0d37c0","species","Animalia","Chloris sinica","LC","NLC","corrected_redlistTW"
"233a25cd-bac6-4bb2-94bb-a4b4c173c218","species","Animalia","Acridotheres javanicus","NA",NA,"corrected_redlistTW"
"56db805c-faf5-417c-8d04-ae8f442ca622","species","Animalia","Acridotheres cristatellus","LC","NNT","corrected_redlistTW"
"05bf28a2-7480-4340-a0eb-19119b9538df","species","Animalia","Agropsar philippensis","LC","NLC","corrected_redlistTW"
"1c50ca3b-a032-48a4-9d13-91bcd810a98a","species","Animalia","Gracupica nigricollis","LC","NLC","corrected_redlistTW"
"4a3ea8cd-a5af-41f2-b79f-9cab6186673c","species","Animalia","Spodiopsar sericeus","LC","NLC","corrected_redlistTW"
"667eca44-74e7-4e76-88c0-17b6ae7df7a1","species","Animalia","Spodiopsar cineraceus","LC","NLC","corrected_redlistTW"
"6a500e9a-587c-4707-aae0-efe893deea9d","species","Animalia","Sturnia sinensis","LC","NLC","corrected_redlistTW"
"5f4a5de8-704b-4fa1-9afb-836c0c5aafdb","species","Animalia","Acrocephalus bistrigiceps","LC","NLC","corrected_redlistTW"
"5c6e0465-66ef-4dfc-bfca-0878be75119b","species","Animalia","Acrocephalus orientalis","LC","NLC","corrected_redlistTW"
"5dbb2b00-a638-4838-bb08-6e884152302b","species","Animalia","Acrocephalus sorghophilus","NA",NA,"corrected_redlistTW"
"b6dc0713-111d-4b39-b283-f330282f5341","species","Animalia","Acrocephalus tangorum","NA",NA,"corrected_redlistTW"
"a28f4753-860e-4e48-a23c-7510f9e29bff","species","Animalia","Actinodura morrisoniana","LC","NLC","corrected_redlistTW"
"f242d6c5-6197-4025-af81-78ea801ea36c","species","Animalia","Alcippe morrisonia","NT","NNT","corrected_redlistTW"
"f75d0c53-2b2c-4a20-aa79-d03c5f8a9fd3","species","Animalia","Garrulax taewanus","EN","NEN","corrected_redlistTW"
"0b16d184-e6e6-4fcf-a1f5-2ddbd8ca43bd","species","Animalia","Garrulax canorus","LC","NLC","corrected_redlistTW"
"84e5026b-061f-467f-8e4e-a38e7fb29026","species","Animalia","Heterophasia auricularis","LC","NLC","corrected_redlistTW"
"3a87a4f1-eefd-4105-b95b-b9006b24ccdd","species","Animalia","Pterorhinus ruficeps","LC","NLC","corrected_redlistTW"
"a2882575-aa64-40f6-8988-2bd95dafd495","species","Animalia","Pterorhinus poecilorhynchus","LC","NLC","corrected_redlistTW"
"b3ebff46-3b98-4252-aaaf-5bb401ab46cd","species","Animalia","Liocichla steerii","LC","NLC","corrected_redlistTW"
"8b4b1b08-5329-4d14-ba12-c60fed02e413","species","Animalia","Trochalopteron morrisonianum","NT","NNT","corrected_redlistTW"
"fccb856c-dc75-4e5f-9aaf-fa228ae855ad","species","Animalia","Alauda gulgula","VU","NVU","corrected_redlistTW"
"d0f4dcb2-c75e-4f56-aeee-4c1b8f42f583","species","Animalia","Anthus cervinus","NT","NNT","corrected_redlistTW"
"8a142107-0039-452f-870b-7eddc80f7ecd","species","Animalia","Anthus gustavi","LC","NLC","corrected_redlistTW"
"3fb5dd80-4ece-4e8f-aa61-00fc1db3118a","species","Animalia","Anthus hodgsoni","LC","NLC","corrected_redlistTW"
"f29c1289-d598-4041-b8c4-9ba3426d8e6e","species","Animalia","Anthus richardi","LC","NLC","corrected_redlistTW"
"2c47464f-c529-4cef-8fc0-630785635851","species","Animalia","Anthus rubescens","LC","NLC","corrected_redlistTW"
"5bace0cc-a25c-4467-ae55-a22cfc20f556","species","Animalia","Motacilla alba","LC","NLC","corrected_redlistTW"
"b6e3f90d-a570-4bfe-bf44-ffec10490666","species","Animalia","Motacilla cinerea","LC","NLC","corrected_redlistTW"
"0ff353f5-b569-4463-b185-841e5f4985ab","species","Animalia","Motacilla tschutschensis","LC","NLC","corrected_redlistTW"
"be2248e3-4083-4435-9b12-d95dce563bbc","species","Animalia","Copsychus saularis","LC","NLC","corrected_redlistTW"
"ceda3010-eba6-46f7-a24e-f3a717f3b324","species","Animalia","Cyanoptila cyanomelana","LC","NLC","corrected_redlistTW"
"387954d8-7500-4162-b38f-e02683ae1186","species","Animalia","Cyornis brunneatus","NA",NA,"corrected_redlistTW"
"5955a855-20f1-48f3-8b4a-b96927955746","species","Animalia","Ficedula mugimaki","LC","NLC","corrected_redlistTW"
"c99936bc-aa79-4d78-bae8-06e172685a36","species","Animalia","Ficedula hyperythra","LC","NLC","corrected_redlistTW"
"a9accdfa-ed43-44ab-aa2c-125fdfce8129","species","Animalia","Ficedula narcissina","LC","NLC","corrected_redlistTW"
"f9dcdacf-4078-4506-a59a-ecaa53eb27f6","species","Animalia","Monticola solitarius","NT","NNT","corrected_redlistTW"
"c42ead69-5725-4bbb-b3db-22810ec74dd4","species","Animalia","Muscicapa ferruginea","LC","NLC","corrected_redlistTW"
"d5822c3f-14f5-4c3e-99e5-5a11388ff6f0","species","Animalia","Muscicapa griseisticta","LC","NLC","corrected_redlistTW"
"b07f72e3-ecb2-464c-92e9-b1f642e920be","species","Animalia","Muscicapa dauurica","LC","NLC","corrected_redlistTW"
"6d62854a-b69a-4629-9cce-3221a2df4189","species","Animalia","Myophonus insularis","LC","NLC","corrected_redlistTW"
"53b0fc82-2b10-4899-b0e8-e7b1f230ca9c","species","Animalia","Myophonus caeruleus","LC","NLC","corrected_redlistTW"
"61a4f693-98bf-428f-847d-2ed004f7cbaf","species","Animalia","Niltava vivida","LC","NLC","corrected_redlistTW"
"8fba2500-e64d-4aae-b88e-202070b2659a","species","Animalia","Phoenicurus auroreus","LC","NLC","corrected_redlistTW"
"105e0a46-e9b2-4e6b-802b-df6b8504ec20","species","Animalia","Phoenicurus fuliginosus","VU","NVU","corrected_redlistTW"
"2a938a10-e730-444a-93c2-93c753907c31","species","Animalia","Tarsiger johnstoniae","LC","NLC","corrected_redlistTW"
"4cf10880-fae5-44b5-9b7a-41b21c036b2d","species","Animalia","Tarsiger cyanurus","LC","NLC","corrected_redlistTW"
"f090cb1d-e3e0-476c-a170-d4d907510118","species","Animalia","Tarsiger formosanus","LC","NLC","corrected_redlistTW"
"6c677c38-fb59-4e41-8e6c-711376abd069","species","Animalia","Brachypteryx goodfellowi","LC","NLC","corrected_redlistTW"
"21d6cd16-33b4-4945-ad0e-054786b3a247","species","Animalia","Calliope calliope","LC","NLC","corrected_redlistTW"
"632ade5b-3cef-48aa-b28b-0676ba7e6c84","species","Animalia","Myiomela leucura","LC","NLC","corrected_redlistTW"
"dede6677-498b-4ecf-9cfd-7098ff3207b1","species","Animalia","Enicurus scouleri","VU","NVU","corrected_redlistTW"
"4243b89c-0530-4783-86d7-ac65216049b7","species","Animalia","Corvus pectoralis","VU","NVU","corrected_redlistTW"
"58da5c37-bbd7-4b35-a555-ff8d43831b46","species","Animalia","Corvus macrorhynchos","LC","NLC","corrected_redlistTW"
"70840ef4-f982-4e5f-8691-2f7f961831e1","species","Animalia","Urocissa caerulea","LC","NLC","corrected_redlistTW"
"5ae0d2ed-bb18-43cb-8690-e2449c88ff29","species","Animalia","Dendrocitta formosae","LC","NLC","corrected_redlistTW"
"909afff8-1ee7-4a4b-a677-f656a496763e","species","Animalia","Garrulus glandarius","LC","NLC","corrected_redlistTW"
"8546da56-2ea1-4487-9c38-12b58f4ca5e1","species","Animalia","Nucifraga caryocatactes","LC","NLC","corrected_redlistTW"
"212af887-0f7b-478e-8e22-d9fdb9759027","species","Animalia","Pica serica","LC","NLC","corrected_redlistTW"
"f1889c9f-b49e-46f6-8f76-c4106bafff3e","species","Animalia","Dicrurus aeneus","LC","NLC","corrected_redlistTW"
"5ea8cf62-7b62-4ca3-81e2-585b85687da8","species","Animalia","Dicrurus macrocercus","LC","NLC","corrected_redlistTW"
"36e2f9ae-a89b-4c5c-95b1-45066aafa66c","species","Animalia","Emberiza chrysophrys","LC","NLC","corrected_redlistTW"
"9f0aa737-cc00-4171-b4b3-d863fb5e9a79","species","Animalia","Emberiza pusilla","LC","NLC","corrected_redlistTW"
"c04eb7ce-0b9b-4dfd-9e7d-74c5df6d7067","species","Animalia","Emberiza rustica","NA",NA,"corrected_redlistTW"
"0bfdb651-2ec1-4dda-90ae-e0875f85bf4d","species","Animalia","Emberiza rutila","LC","NLC","corrected_redlistTW"
"dad684c8-b931-460c-9807-49d6eacae8d8","species","Animalia","Emberiza tristrami","LC","NLC","corrected_redlistTW"
"7d6d0434-7ed4-48d3-92bb-21dc1e5cb97c","species","Animalia","Emberiza sulphurata","NT","NNT","corrected_redlistTW"
"1a8b7d76-debb-4ed3-abf1-5c5125b6025f","species","Animalia","Emberiza aureola","EN","NEN","corrected_redlistTW"
"ff1afc87-f949-41e0-94dc-5c88e61e7afb","species","Animalia","Emberiza elegans","LC","NLC","corrected_redlistTW"
"e44547ec-8d5c-4862-a67e-bd4e8c6dd679","species","Animalia","Emberiza spodocephala","LC","NLC","corrected_redlistTW"
"f3d89a59-01a5-4c8a-bff2-12d103301bc8","species","Animalia","Lonchura atricapilla","VU","NVU","corrected_redlistTW"
"e37fd4e8-49de-4516-a446-c5782535d5d1","species","Animalia","Lonchura punctulata","LC","NLC","corrected_redlistTW"
"63cad33a-13d4-495e-953c-ef72db7f31f8","species","Animalia","Lonchura striata","LC","NLC","corrected_redlistTW"
"2e269b3e-f070-43fd-b118-42667e65ae98","species","Animalia","Fulvetta formosana","LC","NLC","corrected_redlistTW"
"fda73faa-192f-4ec4-a2ad-4b33d1d6ce89","species","Animalia","Sinosuthora webbiana","EN","NEN","corrected_redlistTW"
"c8f5fd1d-fc95-4fcb-80b3-90e79fefcc30","species","Animalia","Suthora verreauxi","LC","NLC","corrected_redlistTW"
"66feb8dc-d8f8-4a0f-8a5f-c32dceca9fbb","species","Animalia","Turdus cardis","LC","NLC","corrected_redlistTW"
"16427c88-3c38-4cf4-b5a1-9a91118403e2","species","Animalia","Turdus hortulorum","LC","NLC","corrected_redlistTW"
"9e684979-4523-4b90-afb2-cb8b95999f30","species","Animalia","Turdus naumanni","LC","NLC","corrected_redlistTW"
"eec219d0-c97c-43b3-9c43-c2fe82c56558","species","Animalia","Turdus obscurus","LC","NLC","corrected_redlistTW"
"89414484-ff6f-4b1c-8461-a9ebe418e43d","species","Animalia","Turdus pallidus","LC","NLC","corrected_redlistTW"
"ac319ead-a32b-4d57-91e9-410aee067fb2","species","Animalia","Turdus eunomus","LC","NLC","corrected_redlistTW"
"a6181f59-714c-4c50-af2a-a61476ba8683","species","Animalia","Turdus chrysolaus","LC","NLC","corrected_redlistTW"
"0e0142de-1e0e-4816-8868-ec09351b13b9","species","Animalia","Turdus mandarinus","LC","NLC","corrected_redlistTW"
"3f6ddcee-31b4-4af1-bd9b-01dc6b171118","species","Animalia","Turdus niveiceps","NT","NNT","corrected_redlistTW"
"c14a3ac4-7eb3-48ff-8d2d-88f9fe92bcdc","species","Animalia","Zoothera aurea","LC","NLC","corrected_redlistTW"
"ae175f6f-a161-472c-95b3-0544ff4eadbd","species","Animalia","Zoothera dauma","LC","NLC","corrected_redlistTW"
"c0ad64b2-44a3-41ff-8214-b3c63cd0c488","species","Animalia","Horornis canturians","LC","NLC","corrected_redlistTW"
"aa95294c-8756-44f0-9c29-af3775cc3998","species","Animalia","Horornis acanthizoides","NT","NNT","corrected_redlistTW"
"620f153d-1608-4211-bbba-71705e8d1d69","species","Animalia","Horornis diphone","LC","NLC","corrected_redlistTW"
"4c5e5294-a2ce-43a1-b3c3-0ed9d05c7c8a","species","Animalia","Horornis fortipes","LC","NLC","corrected_redlistTW"
"0a68f386-69cf-4070-9e24-a0601ca82432","species","Animalia","Urosphena squameiceps","LC","NLC","corrected_redlistTW"
"87ee4326-4385-4867-9023-30fd6fd73d09","species","Animalia","Abroscopus albogularis","LC","NLC","corrected_redlistTW"
"2c82c5bb-a836-4688-8ff4-faa7a1dfa887","species","Animalia","Lalage melaschistos","LC","NLC","corrected_redlistTW"
"ad17be53-09bf-4f9b-a037-9d3816cf97a5","species","Animalia","Pericrocotus divaricatus","LC","NLC","corrected_redlistTW"
"59f07053-6baf-4e5b-8080-158d9a8bb7ec","species","Animalia","Pericrocotus solaris","LC","NLC","corrected_redlistTW"
"a0f13f22-2ae9-4d61-aede-8b6862fcf869","species","Animalia","Coracina macei","VU","NVU","corrected_redlistTW"
"ff20ba0f-22a5-448f-b6ff-134434b50c84","species","Animalia","Lanius cristatus","LC","NLC","corrected_redlistTW"
"aaa14dcf-9cee-449b-890b-1e39a1f6371f","species","Animalia","Lanius schach","VU","NVU","corrected_redlistTW"
"6522d339-ae75-4202-8bfa-a09b94dcd662","species","Animalia","Helopsaltes pleskei","NA",NA,"corrected_redlistTW"
"afff8ca8-60e5-408f-b56b-18913d053c3a","species","Animalia","Locustella alishanensis","LC","NLC","corrected_redlistTW"
"43b353db-13b1-4f14-b6a8-005a29be1789","species","Animalia","Helopsaltes ochotensis","LC","NLC","corrected_redlistTW"
"ccab507a-b6e1-4063-9252-9c9318aaf524","species","Animalia","Machlolophus holsti","NT","NNT","corrected_redlistTW"
"6da20db4-9529-42c7-991d-b67f8e37a6be","species","Animalia","Periparus ater","LC","NLC","corrected_redlistTW"
"b64554fc-0c0a-4ade-9e0d-5eb3cd84b0e7","species","Animalia","Sittiparus castaneoventris","LC","NLC","corrected_redlistTW"
"45fa8681-3a7e-4a66-841b-7cf9da482b9e","species","Animalia","Parus monticolus","LC","NLC","corrected_redlistTW"
"9512dbd6-83cb-414b-bcbf-319985c711ff","species","Animalia","Erythrogenys erythrocnemis","LC","NLC","corrected_redlistTW"
"437ca8c4-d8cc-4885-8bd2-f24197c73f75","species","Animalia","Pomatorhinus musicus","LC","NLC","corrected_redlistTW"
"15b4ed51-c2a7-420b-8091-5fd6afe7152c","species","Animalia","Cyanoderma ruficeps","LC","NLC","corrected_redlistTW"
"dde604d2-29fc-49b8-889e-6880dc4d7a11","species","Animalia","Phylloscopus inornatus","LC","NLC","corrected_redlistTW"
"100a5f31-51f5-4c3b-a9c3-91c85bbe3849","species","Animalia","Phylloscopus ijimae","VU","NVU","corrected_redlistTW"
"937522c1-d03c-42cd-b7bc-4f556dfe603c","species","Animalia","Phylloscopus borealis","LC","NLC","corrected_redlistTW"
"b51b255c-a4f5-4a32-868b-b10747379514","species","Animalia","Phylloscopus fuscatus","LC","NLC","corrected_redlistTW"
"26c84d6e-66bc-4928-842d-86774c26b317","species","Animalia","Pitta nympha","VU","NVU","corrected_redlistTW"
"2adcab4f-c578-4159-8bd6-8ebdb9a09dfd","species","Animalia","Pnoepyga formosana","LC","NLC","corrected_redlistTW"
"8d00d5b2-2fb7-49de-b53c-e7f0209ecbaf","species","Animalia","Prunella collaris","VU","NVU","corrected_redlistTW"
"0f4a4cbf-de63-43e0-bcaa-381c161c63e6","species","Animalia","Pycnonotus taivanus","NT","NNT","corrected_redlistTW"
