"taxonUUID","taxonRank","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies"
"920ffc97-8d33-4f40-83bc-7d5bcfd50cae","species","t0101474","Opistognathus flavidus","Animalia","Actinopterygii","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dd2065a2-1269-4233-96a6-95de7416fb25","species","t0051283","Halieutopsis ingerorum","Animalia","Actinopterygii","native","","","","LC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bbdb904f-2e30-46b8-8dbd-56556c2cfd20","species","t0097825","Crithagra mozambica","Animalia","Aves","non-native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0f871b7a-9fca-4418-b8fa-acc05a9590ab","species","t0070134","Acridotheres leucocephalus","Animalia","Aves","non-native","","","","LC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fd76ff8a-1248-42cc-883d-80fbc9fd671b","species","t0098681","Pterorhinus sannio","Animalia","Aves","non-native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b65f39d9-1fc7-4fca-bcfa-0715bce24ec4","species","t0097987","Dicrurus annectens","Animalia","Aves","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8f91eeda-7942-44e1-8a8b-67b05373ebe2","species","t0102342","Turdus mupinensis","Animalia","Aves","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73d95a5d-eb55-45b1-b371-8cc9a0abf823","species","t0097238","Helopsaltes certhiola","Animalia","Aves","native","","","","LC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252fa1e9-228b-4c20-a4bd-ad2cc8666677","species","t0103445","Hypsipetes amaurotis","Animalia","Aves","native","","","","LC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ef44ca84-ee02-4d56-8375-fad10efff288","species","t0037918","Riparia diluta","Animalia","Aves","native","","","","LC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c18dc704-201a-4a2b-9407-839141acbc60","species","t0084176","Phoenicopterus roseus","Animalia","Aves","native","","","","LC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37f0c327-4e6e-4dea-ba9f-61e3ea1da59e","species","t0098219","Ovophis monticola","Animalia","Reptilia","native","","II","NLC","LC","輕度","2024-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46107149-2b06-47d2-9c2d-ae3af5df5354","species","t0096426","Mogera insularis","Animalia","Mammalia","native","true","","NLC","LC","","2024-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04f131e8-0372-4782-94cc-bd93f6b3cea9","species","t0101489","Meretrix lusoria","Animalia","Bivalvia","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6f4a6ba3-c2e3-4f26-b021-04b4c8e941fd","species","t0101489","Meretrix meretrix","Animalia","Bivalvia","non-native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2a9ea413-6c1c-41f4-9d0a-5cecb5c0757a","species","t0101489","Meretrix petechialis","Animalia","Bivalvia","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4172b6a1-fcf4-4c9c-80fb-204afd9b225b","species","t0096619","Unio douglasiae","Animalia","Bivalvia","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49089cca-9a11-4898-81c3-8c0c96e6b6cc","species","t0079144","Conus chaldeus","Animalia","Gastropoda","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36939f7a-a0b6-4e21-bc03-52809bba5305","species","t0061407","Deroceras varians","Animalia","Gastropoda","non-native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8217ff28-809c-4de8-848e-23095b66c46d","species","t0097473","Camaena succincta","Animalia","Gastropoda","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db3b44fb-c723-4a0e-b58c-b5762f9733a3","species","t0100057","Aphanoconia hungerfordiana","Animalia","Gastropoda","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40c59304-db37-4090-af28-0ae4b0fc808c","species","t0100058","Aphanoconia hungerfordianum","Animalia","Gastropoda","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146d85d9-e9f4-4495-a1ea-f2134eff2bce","species","t0077641","Caulastrea furcata","Animalia","Hexacorallia","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ac69dcea-5c74-4a17-ab06-fccb61d59256","species","t0077642","Caulastrea tumida","Animalia","Hexacorallia","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"054e7c2b-fd8c-412e-9a15-84fdce8a92fe","species","t0077640","Caulastrea echinulata","Animalia","Hexacorallia","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20d0b714-3cab-4a18-80f4-be2fd02354c8","species","t0103294","Sarcophyton taiwanianum","Plantae","Spermatopsida","native","","","DD","","","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6b78b501-ae66-458f-91e5-d20bec1ee674","species","t0097392","Brachionus calyciflorus","Animalia","Monogononta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e90f6958-579d-40f0-96e9-3790b324ba08","infraspecies","t0096359","Metadentobunus formosae formosae","Animalia","Arachnida","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6e2c5d5f-ed42-4943-b505-66fe69435587","species","t0103444","Emberiza personata","Animalia","Aves","native","","","NLC","","","2024-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1f7663d2-62ae-49d2-ad7d-758ff643c641","infraspecies","t0102387","Sinosuthora webbiana bulomacha","Animalia","Aves","native","true","","NEN","LC","","2024-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a16f0b8d-92b3-4dd5-9e0b-65df3699c9e9","infraspecies","t0103598","Prinia striata striata","Animalia","Aves","native","true","","NLC","","","2024-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ebf8dbe0-2d87-48f4-be19-c55fd5dd9117","infraspecies","t0101089","Calidris alpina kistchinski","Animalia","Aves","native","","","NVU","NT","輕度","2024-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16c9bead-2341-4312-a72d-802abfe67803","infraspecies","t0101012","Jynx torquilla torquilla","Animalia","Aves","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c02dc244-6ec4-40bf-bc35-5493d7390081","infraspecies","t0099066","Tamiops maritimus formosanus","Animalia","Mammalia","native","true","","NLC","","","2024-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329f1de6-1e3f-49e2-a8bb-7b8cada93e11","infraspecies","t0096619","Unio douglasiae taiwanicus","Animalia","Bivalvia","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e75401c6-5dcb-4c70-8760-a39e276f74e0","infraspecies","t0086187","Pteropurpura adunca expansa","Animalia","Gastropoda","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f3638514-0258-4bed-80cf-325c4d2f2cd5","infraspecies","t0102854","Cerithidea cingulata microptera","Animalia","Gastropoda","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ef3557ae-4785-4507-904a-f00cba333831","infraspecies","t0102860","Cerithidea cingulata cingulata","Animalia","Gastropoda","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7ff5ac80-e865-4e60-b268-b48dcd44e565","species","t0076391","Bembidion rufotibiellum","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"591bed69-2020-4c68-a01f-d00619ca6948","species","t0076396","Bembidion taiyuanense","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dd7a1359-5fc9-4387-bc3b-3cb52d687a24","species","t0076399","Bembidion varium","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"075cd4eb-c8a1-4794-ae15-2065b38f35df","species","t0100226","Bembidion tenellum","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"051ce713-0e6a-477e-aeb5-b9f6ed351cda","species","t0083705","Csikia dimatoides","Animalia","Insecta","native","true","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dd642f24-892c-4bb6-8419-7dfc806e05da","species","t0083705","Penia babai","Animalia","Insecta","native","true","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97c8c284-79b4-4793-b4ae-d51d3cc7ea8c","species","t0037319","Pterolophia (Pterolophia) variantennalis","Animalia","Insecta","native","true","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73b075e1-bde0-4911-bab6-a96d56db18c6","species","t0070774","Alesia discolor","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f5f4616e-d192-4303-8721-bd26126a4ff1","species","t0082896","Pania luteopustulata","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8d5a2fb7-57dc-4bf3-8c20-2556e8645456","species","t0032861","Singhikalia subfasciata","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f213a485-1115-49e1-8a2b-95decd33433a","species","t0099517","Anomala hualienensis","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fffc00b2-1c95-4625-8e9d-271f7bc48b1b","species","t0099021","Synapsis davidi","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13d113c4-6385-497f-be18-f2b613e1e688","species","t0070406","Aegus philippinensis","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34bc3db2-9516-428d-bb99-1c36271699b5","species","t0102410","Cyclommatus scutellaris","Animalia","Insecta","native","true","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b91366e8-8d5f-482e-b5fc-b178cc7a48b1","species","t0105413","Cyclommatus asahinai","Animalia","Insecta","native","true","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"573811aa-2fef-42c2-a4b5-661723e45a55","species","t0096773","Dorcus curvidens","Animalia","Insecta","native","","III","","","輕度","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2b60aa8a-9f63-4460-a9bc-ee19e48503c5","species","t0096776","Dorcus striatipennis","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8f1de207-2ccb-4db1-81d6-236ee8486ab2","species","t0102459","Dorcus titanus","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21a991a1-04ce-43a2-bba9-680f85a115da","species","t0081612","Nigidius lewisi","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336b464e-415e-4a71-b615-e49a783a7f45","species","t0070606","Agraphydrus orientalis","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bbe2241c-a9dd-4c27-8afb-81b91484d398","species","t0039387","Sphaeridium dimidiatum","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"757ddd53-837a-48b6-ad7a-91e324230eb3","species","t0070641","Agrilus planipennis","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7c1589e6-feed-4b2d-9ad6-cf7335675adf","species","t0096879","Eobia curticornis","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b4caa838-9638-4682-bc1f-eed82aa085d8","species","t0098781","Sarcinodes yaeyamana","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2079a865-8250-4fd3-b0fe-c5f67f02e5ae","species","t0096338","Melanthia catenaria","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80372e31-feeb-4917-a4c6-74fa28d54820","species","t0098235","Ozarba uberosa","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9d8a9dee-0be4-4741-a053-09b20768ce2f","species","t0051377","Hilarographa calyx","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67b55d4c-340c-4b25-8e06-273aa3b0a756","species","t0100092","Arctornis l-nigrum","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415878f1-ba09-476c-91e6-7d5e6fb949d0","species","t0099135","Theretra nessus","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cef1e7a7-857b-4f16-a53a-22969fb53b9c","species","t0049893","Autocharis fessalis","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67521363-75c7-4b6d-997c-ae1d55a3c226","species","t0098006","Neope muirheadii","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f6fa8f2d-f783-48cc-bba1-af2dd4b0eea1","species","t0062845","Epiacanthus guttiger","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53e6e95d-2de2-462a-bf9b-f9e477f1aa5d","species","t0066359","Ishidaella albomarginata","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a40a21a7-0286-4c9a-bc7b-b9f15a302fc9","species","t0069099","Metalimnus formosus","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8cb3c793-2869-4420-8ce0-9fc45d48547b","species","t0101342","Tettigella formosana","Animalia","Insecta","native","true","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc5b7480-2e8a-42df-9e75-11ee2debfd42","species","t0101911","Tettigella hoozanensis","Animalia","Insecta","native","true","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7e7b3556-88e8-4084-9137-55b65141388a","species","t0076180","Balclutha akonis","Animalia","Insecta","native","true","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d5d98b2d-51a1-442a-b2a7-66d4ee2e903f","species","t0076182","Balclutha laevis","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8b4c13a4-5339-4ccc-ac70-5baf25a70f38","species","t0076184","Balclutha orientalis","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d89dc682-0da3-4711-a563-3bab449648dd","species","t0076184","Balclutha pallidula","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8af8e5ea-37ef-4333-a168-b8c6765ff5b3","species","t0076180","Balclutha incisa","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282b1634-1f68-46d2-85ea-fcac363870d7","species","t0076182","Balclutha lucida","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc7da648-0a91-44c1-ad90-4bc7000394b4","species","t0104534","Exitianus simillimus","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03cdad10-c3b1-4bdb-86e9-967473eb9c16","species","t0065650","Hishimonus disciguttus","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e958e3d2-59d6-4bf6-8fdc-6d86cd010eae","species","t0065650","Hishimonus sellatus","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9da421e4-f5f6-482b-8ad4-9def24920b22","species","t0082975","Thomsoniella concentralis","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4827564f-85e6-4479-a7c3-70c01b3300f8","species","t0084251","Geisha mariginellus","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fd54846d-b6e4-462f-9779-d4a3efc15147","species","t0084251","Phylliana alba","Animalia","Insecta","native","true","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ef869254-4823-4e74-970d-784e3a9f3ac5","species","t0099186","Epiclinata planata","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54af3d89-5d30-41a8-9e21-35576a1d5bde","species","t0082975","Parabolocratus concentricus","Animalia","Insecta","native","true","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bbd45e25-22ef-4afa-bc62-c337b6e95277","species","t0068131","Lycorma delicatula","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60f2f8c5-e2f9-4094-9c68-b1eba4bfed4e","species","t0037496","Pyrops spinolae","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10be98b4-6b54-46b9-b7c0-9fda8ef5ee11","species","t0049082","Zanna chinensis","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9f9ae253-2519-40b3-8da2-6f10cab00d67","species","t0102400","Aedes (Scutomyia) albolineatus","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2c5e7f53-0301-4836-9fce-b49818b08472","species","t0033282","Teleopsis quadriguttata","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b2e9738c-34d3-4aa5-bab2-f782485010d5","species","t0076191","Baliga brunneipennis","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4410ea39-bf58-48a0-82d6-e424918cf108","species","t0076192","Baliga eurystictus","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8d9d62c3-1407-4529-a575-994f53344848","species","t0076194","Baliga ochraceopennis","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1625de07-f56e-48a4-9f4c-012543281830","species","t0080830","Myrmeleon alticola","Animalia","Insecta","native","true","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fca1ca98-7c8c-461e-8967-f9e4994b274b","species","t0080837","Myrmeleon wangi","Animalia","Insecta","native","true","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3259db88-c351-4444-a86e-376377a14943","species","t0065582","Hierodula (Hierodula) bipapilla","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522b1e41-6387-42c8-b0bd-08f6bd8d6a7f","species","t0065582","Hierodula (Hierodula) patellifera","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7fd50064-3e01-4218-8b40-15e33366c525","species","t0065582","Hierodula (Hierodula) saussurei","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01026e8a-5f3d-45c9-b4a9-a3fd5ccddb7d","species","t0046932","Tenodera capitata","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141722fa-203d-445b-b184-70c1aa11caa6","species","t0069466","Mitius splendens","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7c28ca48-33ba-4c6f-8696-7d9e28004a6f","species","t0096638","Velarifictorus ornatus","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ac643785-c439-4283-9ea1-07208fda37d0","species","t0103602","Sigmella schenklingi","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fb527ee9-f7d7-4494-aff3-cdc1081c844d","infraspecies","t0085332","Bembidion tenellum pseudoplaga","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e8f30a45-bf0c-4c2e-935f-0d5756f49234","infraspecies","t0085630","Eobia curticornis diversithorax","Animalia","Insecta","native","true","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e9092246-8e13-42ae-ab89-3e4b36913393","infraspecies","t0098550","Pogonopygia pavida pavida","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8674c679-fdc1-4732-823a-ba197e71bb8a","infraspecies","t0101038","Neope muirheadii nagasawae","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dea2c452-aa47-4bba-88e3-ca7edf080ae0","infraspecies","t0086416","Velarifictorus ornatus ornatus","Animalia","Insecta","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b657481f-6cbc-45f4-a21b-542afb741da9","species","t0103622","Didymoglossum motleyi","Plantae","Polypodiopsida","native","","","NNT","","","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6231824b-4c12-4333-9736-9e33499fc58f","species","t0105401","Hypolepis polypodioides","Plantae","Polypodiopsida","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155ef9f6-b7fb-4d2c-a6e6-c4120c1f161e","species","t0105402","Polystichum stenophyllum","Plantae","Polypodiopsida","native","","","NLC","","","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1011c54c-da49-4584-9955-41ac773113d4","species","t0100505","Tectaria rockii","Plantae","Polypodiopsida","native","","","DD","","","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07357ff7-55bf-443d-813d-0fdf048b45e9","species","t0103261","Halophila beccarii","Plantae","Spermatopsida","native","","","NLC","","","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3b6cd76e-f658-4cc7-9625-ba0aeaa8d576","species","t0099462","Bulbophyllum electrinum","Plantae","Spermatopsida","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eddadc59-2eb1-43d4-8ff1-255bdd6c13cc","species","t0053324","Dendrobium goldschmidtianum","Plantae","Spermatopsida","native","","","NNT","","","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82702845-3201-4528-b349-59bc03107a0d","species","t0100370","Lecanorchis taiwaniana","Plantae","Spermatopsida","native","","","NVU","","輕度","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ebe10d87-f5f1-4dbb-95ab-40c87bb11c79","species","t0103367","Tainia cordifolia","Plantae","Spermatopsida","native","","","NLC","","","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aea6caf1-569c-47e0-9a97-aa300d9da360","species","t0103300","Vrydagzynea formosana","Plantae","Spermatopsida","native","","","NLC","","","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04f104cd-3ae2-4119-a23d-4e01bc4c6543","species","t0102219","Heteropolygonatum altelobatum","Plantae","Spermatopsida","native","true","","NLC","","","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222e9a92-9980-4a2f-bb30-b41297341f68","species","t0100777","Hellenia speciosa","Plantae","Spermatopsida","native","","","NLC","","","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
