"taxonUUID","taxonRank","kingdom","class","simplifiedScientificName","categoryRedlistTW","new_redlistTW","source_process"
"1e66dded-be91-4185-9137-fa488be5f09a","species","Animalia","Insecta","Crocidolomia subhirsutalis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"1663ca11-f65e-460a-a3a0-0d5217a0bc5d","species","Animalia","Insecta","Lepteucosma ceriodes","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"506cd75b-6c1f-4876-8043-9c2f780a3af0","species","Animalia","Insecta","Epinotia fujisawai","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"4970eb04-bfdd-4820-ae39-009d1cdbd77e","species","Animalia","Insecta","Epinotia monticola","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"25b50d06-ec19-43fd-986d-adba7162d8d9","species","Animalia","Insecta","Trachys reitteri","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"de98b857-2bd2-4f78-8c7d-d2f4d8c6e01e","species","Animalia","Insecta","Trachys ineditus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"e0c9350f-5482-406b-ab9c-eb7fd418e506","species","Animalia","Insecta","Eidophelus darwini","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"98a9bb9f-1e07-4419-98a3-53bf25cb5d06","species","Animalia","Insecta","Eumeta minuscula","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"1a85681d-0b32-4f51-a2e6-d7ca63adf19c","species","Animalia","Insecta","Lobogonodes shiushioui","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"f368e1fb-6e30-407a-b601-c44d2e7a7e61","species","Animalia","Insecta","Patissa taiwanalis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"7d9545a5-3d0a-444d-a6ef-4bb0c08b0f04","species","Animalia","Insecta","Technomyrmex horni","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"7dbaac54-8bb3-4663-b0fb-ffac6311806e","species","Animalia","Insecta","Dichomeris lutea","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"a9199383-a1ea-4191-a3ae-e16f4db24e56","species","Animalia","Insecta","Aparammoecius chuangkuohungi","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"4cd82cdb-f354-4463-9f38-1d2f0787ebdd","species","Animalia","Insecta","Aparammoecius yushanus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"1616433d-6037-474a-86ea-91803903590a","species","Animalia","Malacostraca","Ethusa izuensis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"de403170-1872-48b2-94fc-6e632ff26f83","species","Animalia","Malacostraca","Ethusa latidactyla","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"7a5a85a8-594b-46a0-9f4e-d1c93d4f1ecd","species","Animalia","Insecta","Ambrosiophilus sulcatus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"372ccbb2-808d-4da1-b50b-5be04ddbab5b","species","Animalia","Insecta","Ostrinia furnacalis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"776f216d-7784-4784-902d-92abc8cc5e47","species","Animalia","Insecta","Sorolopha angustorbis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"ff8d329d-ab67-4dbb-aa4f-c3add47b1e0e","species","Animalia","Insecta","Agelosus auricomus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"f05ff2f4-1716-420d-9f6c-9c8a2cb34abb","species","Animalia","Insecta","Apecholinus canifer","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"46bbe33e-ad04-4765-8374-3ef1e1a47cfc","species","Animalia","Insecta","Apecholinus imitator","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"b0f75256-562b-4f03-981c-063e3dc3b12e","species","Animalia","Insecta","Peridaedala algosa","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"871ee269-5554-448b-8ac5-5a455b48881d","species","Animalia","Insecta","Peridaedala optabilana","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"373126f6-ff85-4f34-a56d-1ab930cd38d5","species","Animalia","Insecta","Eilicrinia nuptaria","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"47a07830-9a86-461d-a8d2-df641ba0843e","species","Animalia","Insecta","Eupoecilia ingens","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"e26206d4-50ac-43ea-b35f-25146d738818","species","Animalia","Insecta","Arixyleborus yakushimanus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"32399788-5add-4e58-939f-318dd487c8ad","species","Animalia","Insecta","Mimochroa olivaria","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"15b49593-077d-4c20-8be0-d5b6c00a001e","species","Animalia","Insecta","Derispia fukiensis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"072f63a7-4d5c-4210-b097-24a6532d17e4","species","Animalia","Insecta","Derispia huangi","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"e8d252a8-79cd-41c4-92ab-231eb1b7f729","species","Animalia","Insecta","Derispia lanrenxiensis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"bc44e4bb-d93b-4bf3-ad6c-b3b5da25dbe1","species","Animalia","Insecta","Derispia fengkangshana","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"e2125471-b787-43c6-b8cf-bb01f09177aa","species","Animalia","Insecta","Microperus quercicola","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"51d30574-71d4-4ef4-bcec-077e2a30a75e","species","Animalia","Insecta","Chaetocnema confinis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"372819ff-9f86-4cc4-886a-f824751ce8e8","species","Animalia","Insecta","Chaetocnema warchalowskii","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"ae937015-35c9-4f58-8acb-7aa0c851191b","species","Animalia","Malacostraca","Ashtoret lunaris","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"7e9d763a-bd6e-4648-bed8-a1b89098a59d","species","Animalia","Malacostraca","Ashtoret picta","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"673c75ff-d8e9-4d4a-9a3b-4244898225d6","species","Animalia","Malacostraca","Myra celeris","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"f56fe15a-9d5b-4f29-9d83-a682a8e28395","species","Animalia","Insecta","Stenhomalus mirificus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"e072bd66-264e-4e2b-8ccf-8e228fcba405","species","Animalia","Insecta","Stenhomalus makiharai","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"75a3d421-57d4-4f39-b399-6a642b97ce66","species","Animalia","Malacostraca","Thor paschalis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"d089d832-91fa-448c-9e75-768ccc56cfe8","species","Animalia","Malacostraca","Thor spinosus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"caf1ab1e-10ba-4bed-951d-58076bb2bf8a","species","Animalia","Insecta","Protuliocnemis partita","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"4927d39c-969e-4f49-8779-012eb539f51a","species","Animalia","Insecta","Graphium mullah","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"4927d39c-969e-4f49-8779-012eb539f51a","species","Animalia","Insecta","Graphium mullah","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"d280ccd9-bd06-4d48-8068-10bdac4c3b17","species","Animalia","Insecta","Cochylidia contumescens","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"82bced21-f6dd-46bb-a320-dde04857ba84","species","Animalia","Insecta","Cochylidia oblonga","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"69d7e9f7-0f0d-41bd-8535-5987d448e109","species","Animalia","Insecta","Coptodera maculata","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"b4c16705-081b-4dd6-a704-183386c2ecaa","species","Animalia","Insecta","Coptodera occulta","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"ebff6684-9285-4528-862d-63c6416c3295","species","Animalia","Insecta","Anthaxia chinensis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"b9f5d54b-bd7c-484e-831a-43afa3d92089","species","Animalia","Malacostraca","Cymonomus cognatus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"ad4f5c1e-b651-4ea5-847c-1cd521f5a521","species","Animalia","Malacostraca","Cymonomus deforgesi","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"fd1e66e9-5a85-4546-ab57-5b04c2ef2668","species","Animalia","Insecta","Tilloidea unifasciata","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"f25b3ebb-a6ff-4ef9-9682-be84e87cb429","species","Animalia","Insecta","Nigidius lohi","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"2076e45c-ace0-483f-89d6-c69047dcf3ae","species","Animalia","Insecta","Apochima excavata","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"e0781c13-9ad0-4713-ad3b-ad7d2a3861e4","species","Animalia","Insecta","Delias acalis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"12ef5a80-cdf5-420d-a402-b2abe121eba4","species","Animalia","Malacostraca","Urnalana parahaematostica","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"ea2f01bb-3aed-46d1-986d-399fa92bc87c","species","Animalia","Malacostraca","Percnon sinense","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"90c71222-0cf6-4b6c-b6fa-94c470472952","species","Animalia","Insecta","Termioptycha eucarta","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"275b6b5f-2f37-4135-93ad-c356d62149a5","species","Animalia","Insecta","Termioptycha cornutitrifurca","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"8cdca0da-5a77-43c6-92d1-ece2cedadf47","species","Animalia","Insecta","Termioptycha longispina","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"599bad1a-0e95-49be-8fb2-35709ee031a2","species","Animalia","Insecta","Termioptycha conjuncta","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"1c01696f-c8a2-4e3b-a5af-2c5195661876","species","Animalia","Insecta","Platydracus juang","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"e39c6267-75d1-4af2-8666-868e8c8d6803","species","Animalia","Malacostraca","Cryptodromia fallax","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"7adc38db-3664-47fe-b92e-f3b7160e5b2e","species","Animalia","Malacostraca","Cryptodromia tumida","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"1bb89aa8-24b8-479f-8a48-6917a73fde71","species","Animalia","Insecta","Luperomorpha xanthodera","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"9a5ce987-c11b-4c27-adb8-62ffb199bd43","species","Animalia","Insecta","Sinodiapterna yushana","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"030bd7a7-c83c-4c80-a452-9446d376e22e","species","Animalia","Insecta","Pentacitrotus leechi","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"7f6cebfe-ab7d-4e95-9e98-1dfcfefc29bf","species","Animalia","Insecta","Miltochrista gyochiana","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"bccfe612-7f93-4a4c-89f4-cddf9367c8e5","species","Animalia","Insecta","Miltochrista yueh","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"493ded62-7a1b-413b-9305-20afe19f9e0d","species","Animalia","Insecta","Miltochrista simplicior","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"8247372b-a085-4111-b03b-4be64e74c088","species","Animalia","Insecta","Miltochrista asakurai","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"bb9847c9-c72e-49f4-a0ff-42d4034c3b95","species","Animalia","Malacostraca","Heteropilumnus decharmoyi","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"b43bb6c1-76cc-44f4-a79c-7857d62ac298","species","Animalia","Malacostraca","Heteropilumnus satriai","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"b767127f-c5d9-42bc-9311-f97da8e115d0","species","Animalia","Insecta","Acosmetia tenuipennis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"e48dadb3-2c00-4e27-a638-502da92a2ca1","species","Animalia","Insecta","Acleris affinatana","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"1690882b-58f3-4701-8152-4116ab8ee388","species","Animalia","Insecta","Reticulitermes leptomandibularis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"f121090f-7cb4-4b2b-9665-1ff4cb61db90","species","Animalia","Insecta","Endoclita atayala","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"38cf0f9e-8339-440d-8150-cc19e72d3f74","species","Animalia","Insecta","Endoclita kosemponis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"e062ce06-bc54-4837-9ab6-2a9d22ae3fb1","species","Animalia","Insecta","Endoclita meifenga","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"4767195c-873e-42ea-9b6b-97028ab8e3db","species","Animalia","Insecta","Paraplea liturata","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"58d3aa2c-502e-4cbb-b552-0e35b2293e0c","species","Animalia","Insecta","Euwallacea fornicatior","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"dab7675c-bc34-4cbd-8878-e58f1794d5f9","species","Animalia","Insecta","Euwallacea kuroshio","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"fd9e3a99-4634-47cd-867c-49981c160e75","species","Animalia","Insecta","Euwallacea perbrevis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"f82809f5-b9c7-4e77-a375-ad7a6384e766","species","Animalia","Insecta","Neachrostia undulata","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"94ae1084-9945-48bf-87d6-0c97a2da937e","species","Animalia","Insecta","Mochtherus obscurabasis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"e2e6f0c3-aa23-4e9e-aacf-3316ba72901d","species","Animalia","Insecta","Catascopus asaharti","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"6d893117-dcb2-415d-9797-34866ad96452","species","Animalia","Insecta","Catascopus sauteri","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"8423887f-7c30-4c8e-ab67-f9f35fade1f1","species","Animalia","Insecta","Catascopus viridiorchis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"532a6f1d-9869-4aa4-980d-01bd4b5a87b2","species","Animalia","Insecta","Epirrita usuao","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"a523b3e0-05a3-463e-95c9-004fba24cb65","species","Animalia","Insecta","Herimba formosa","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"9cb6aa64-d626-4be4-8301-9fbc1e56a33a","species","Animalia","Insecta","Amphimenes absensacidus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"68eb2028-adf1-4fac-bb95-4e5f33110f62","species","Animalia","Insecta","Amphimenes beichatiensis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"59c90190-1842-45d4-88eb-8f7c336786be","species","Animalia","Insecta","Amphimenes carinacaulis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"1a6b6bc0-407a-4fab-9cd7-bf516d282baa","species","Animalia","Malacostraca","Tiarinia gracilis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"00a2cb5b-9b1c-4384-88c6-8edacdc1d16d","species","Animalia","Insecta","Rakovicius lanae","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"2f52f543-ed56-4953-a851-5399dfb5b016","species","Animalia","Insecta","Neodrymonia cretata","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"f8e84221-1156-4eb6-a568-114441501cf3","species","Animalia","Insecta","Psammoecus taiwanensis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"130535ae-7d1b-4bbd-9b4c-ad8e76a926e7","species","Animalia","Insecta","Psammoecus harmandi","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"5ac71fa4-4b01-4b93-a65b-b5a02b8d878d","species","Animalia","Insecta","Psammoecus dentatus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"b33e5068-162e-472c-a667-412ac3a25836","species","Animalia","Insecta","Psammoecus trimaculatus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"e41e9b45-2242-436d-9c08-97381af4d38b","species","Animalia","Insecta","Psammoecus triguttatus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"f50c3cc7-5ffb-464c-ae7c-489792f952b4","species","Animalia","Insecta","Psammoecus labyrinthicus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"119deb85-2362-4c33-89c6-c562d0da0140","species","Animalia","Insecta","Psammoecus hiranoi","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"2974c954-1e08-46a8-b2c8-25c99f6ddcb5","species","Animalia","Insecta","Apotomis davisi","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"780b5abd-f842-40c3-9f12-d13930691ca0","species","Animalia","Insecta","Miobdelus humilis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"283f92d5-348b-4fa1-81cc-467c570b9d9f","species","Animalia","Insecta","Olethreutes meifengensis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"a5d9b002-5d06-46f7-a61d-7dca50cadffe","species","Animalia","Insecta","Olethreutes flammanus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"e3abc690-1655-45a4-877f-8c6ff9ff0176","species","Animalia","Insecta","Olethreutes sayonae","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"a2174e47-2b72-4bea-bc00-514f216c00b1","species","Animalia","Insecta","Olethreutes aliana","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"9aaedcd4-2eff-4686-bf5b-477f746788f8","species","Animalia","Insecta","Olethreutes cana","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"f31609cf-39ff-40fc-b1be-7aba52c0c813","species","Animalia","Malacostraca","Oxypleurodon auritum","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"770d8c5b-ec13-42cc-a9ce-42bfee7c6091","species","Animalia","Malacostraca","Oxypleurodon forte","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"a12e9edf-f36f-4219-93fe-4196ba181117","species","Animalia","Malacostraca","Oxypleurodon sanctaeclausi","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"063a95c5-a787-44cd-afd4-2c9ded438513","species","Animalia","Malacostraca","Pugettia incisa","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"18551f8d-350c-451e-a45b-487e8b255163","species","Animalia","Insecta","Casmara agronoma","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"a5908123-3554-4337-86f2-1c84af9cced8","species","Animalia","Malacostraca","Camatopsis thula","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"8136e206-6e49-48a9-9d65-7265a71c536c","species","Animalia","Malacostraca","Pariphiculus stellatus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"9e39b429-bd7f-4f2b-af4c-b9e6a2b12161","species","Animalia","Malacostraca","Pariphiculus agariciferus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"0d51290a-a329-4971-a3d6-7607e35d884e","species","Animalia","Malacostraca","Pariphiculus coronatus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"be0fbc44-46a2-4e78-9841-286f4ffa4edb","species","Animalia","Insecta","Amasa lini","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"ccaa357b-9e1d-419c-9a88-f854ffd7abe3","species","Animalia","Insecta","Hypothenemus aulmanni","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"64a19a8f-d7d2-4e7d-b341-2072d90d48c5","species","Animalia","Insecta","Zeiraphera luciferana","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"513545dd-9bf9-4e71-bbc4-4a1b92cc849b","species","Animalia","Insecta","Prochasma squalida","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"cf54c37f-107f-4272-adf6-2919afc694e6","species","Animalia","Insecta","Lophomilia takao","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"12acfc65-5b18-4168-8780-e23f1b3a8416","species","Animalia","Insecta","Lophomilia speideli","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"160c96eb-e473-4151-87d4-a4f623981053","species","Animalia","Insecta","Ostedes niisatoi","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"453a9d3f-cf95-42a5-ae9d-4477b86ba9a2","species","Animalia","Insecta","Ostedes yamasakoi","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"c6eee6ca-72e8-4675-a2db-34a7cd6056e5","species","Animalia","Malacostraca","Carcinoplax indica","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"c40cda98-ffd1-4232-b628-9fcc102e8d04","species","Animalia","Malacostraca","Carcinoplax sinica","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"99627b83-722e-4671-9e5e-010102e40434","species","Animalia","Malacostraca","Carcinoplax spinosissima","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"8782e660-571c-457f-920b-59960ee059c1","species","Animalia","Insecta","Gandaritis octoscripta","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"d7a73a11-de68-4ca4-bdf3-4c34fe82c33e","species","Animalia","Insecta","Gandaritis pseudolargetaui","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"fa7b8b54-f626-4e7e-b118-ce14f6f30649","species","Animalia","Insecta","Gandaritis whitelyi","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"ae26fe58-0ab1-404b-8492-a2ab2be53156","species","Animalia","Malacostraca","Grapsus intermedius","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"27739e3d-f627-466b-a6d8-875200e97a14","species","Animalia","Insecta","Hedya anaplecta","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"371b508b-51c2-443a-a1b7-29ba78f2122b","species","Animalia","Insecta","Hedya sunmoonlakensls","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"4b05e96c-0dab-4d55-b5cf-74ab9294d010","species","Animalia","Insecta","Agrilus minor","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"336a8519-67f3-44ec-a423-8af808bd83cc","species","Animalia","Insecta","Agrilus nipponigena","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"2cb98366-a343-46e6-95b8-f70a0de58a1f","species","Animalia","Malacostraca","Metanephrops neptunus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
